,Vehicle_Type,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Vehicle_Speed,Month,Day,Hour,result
1535,2,1,2,0,0,72,2,4,9,0
2915,2,1,2,0,0,87,10,0,22,0
770,0,0,0,290,290,56,10,4,12,0
1687,0,1,0,300,300,68,28,5,10,0
3671,2,1,2,0,0,96,14,4,10,0
4836,4,0,1,115,115,66,5,6,10,0
4158,3,0,0,140,140,74,14,6,15,0
1821,1,1,2,70,70,49,31,0,18,0
4201,0,1,0,300,300,68,6,5,8,0
2767,1,1,2,120,120,95,17,1,19,0
1612,2,1,2,0,0,73,1,1,20,0
109,6,1,1,140,140,87,25,2,13,0
3779,4,1,1,120,120,75,27,0,20,0
584,5,0,0,290,290,50,9,4,14,0
4967,5,1,0,330,330,73,15,5,21,0
163,2,1,2,0,0,78,21,2,18,0
3435,6,1,1,110,110,86,22,3,3,0
1995,0,1,0,300,300,88,3,4,16,0
757,1,1,2,60,60,31,24,1,7,0
2597,3,1,0,180,180,81,24,5,16,0
72,2,1,2,0,0,53,19,0,0,0
2615,5,1,0,350,350,79,9,1,15,0
2512,4,0,1,160,160,67,26,0,22,0
891,2,1,2,0,0,90,1,6,6,0
690,6,0,1,110,110,44,25,6,16,0
562,2,1,2,0,0,54,18,3,22,0
2305,2,1,2,0,0,85,7,2,19,0
2685,5,1,0,350,350,96,30,6,14,0
1648,5,0,0,300,300,72,15,4,15,0
3538,2,1,2,0,0,52,10,4,8,0
2367,1,1,2,90,90,86,27,6,21,0
3399,5,1,0,290,290,45,24,3,8,0
4932,5,0,0,330,330,51,23,1,7,0
2109,2,1,2,0,0,83,1,5,5,0
627,6,1,1,110,110,42,24,5,16,0
687,1,1,2,60,60,53,22,3,21,0
3410,0,0,0,290,290,90,3,2,1,0
2529,1,1,2,120,120,82,6,5,21,0
719,4,1,1,100,100,42,26,0,5,0
4059,4,1,1,110,110,68,6,4,0,0
3682,3,0,0,150,150,69,10,5,12,0
1979,4,1,1,110,110,80,17,1,5,0
4369,0,1,0,300,300,43,25,3,9,0
1138,6,0,1,130,130,44,25,0,16,0
198,2,1,2,0,0,46,28,2,21,0
3154,5,0,0,290,290,58,24,1,14,0
2212,0,0,0,330,330,71,8,2,0,0
3995,6,1,1,130,130,78,1,2,19,0
1793,1,1,2,70,70,53,29,3,0,0
4912,6,0,1,125,125,50,21,2,10,0
2743,4,1,1,160,160,84,9,5,9,0
276,5,0,0,350,350,52,17,5,14,0
694,1,0,2,60,60,56,1,3,17,0
572,4,0,1,100,100,49,28,6,11,0
841,1,1,2,60,60,90,3,1,13,0
4098,2,1,2,0,0,75,18,2,2,0
1094,2,1,2,0,0,67,12,5,19,0
1478,1,0,2,100,100,45,1,4,21,0
3778,6,0,1,130,130,50,8,2,5,0
2804,5,0,0,350,350,57,8,0,2,0
4606,3,0,0,145,145,48,5,0,17,0
1898,1,0,2,70,70,52,26,3,4,0
13,3,1,0,180,180,98,19,4,4,0
1039,5,1,0,340,340,79,16,4,13,0
4417,3,1,0,140,140,92,20,5,5,0
3794,3,0,0,150,150,51,5,5,12,0
2259,4,1,1,115,115,84,23,4,9,0
1882,3,0,0,140,140,53,10,2,17,0
3921,0,1,0,340,340,77,25,6,5,0
2203,4,1,1,115,115,85,16,1,3,0
89,4,1,1,160,160,90,5,3,12,0
166,4,0,1,160,160,55,24,5,8,0
2749,6,1,1,140,140,86,18,1,5,0
477,1,1,2,120,120,73,14,5,6,0
2587,5,1,0,350,350,79,6,3,6,0
2920,0,0,0,350,350,52,26,0,3,0
1837,5,1,0,300,300,60,17,2,10,0
3738,3,0,0,150,150,73,12,4,12,0
2104,6,0,1,125,125,66,26,0,22,0
1887,6,1,1,120,120,54,15,6,9,0
2257,5,1,0,330,330,75,1,5,5,0
4960,5,0,0,330,330,67,20,6,9,0
3439,1,1,2,60,60,90,21,6,17,0
888,3,0,0,130,130,90,15,3,23,0
797,3,1,0,130,130,65,21,5,1,0
4124,0,0,0,300,300,55,25,0,19,0
2775,2,1,2,0,0,91,30,4,22,0
2479,1,1,2,90,90,88,3,4,14,0
3310,4,0,1,100,100,98,4,0,7,0
4969,4,1,1,115,115,91,19,4,5,0
4245,2,1,2,0,0,46,24,2,15,0
2726,2,1,2,0,0,69,29,2,11,0
2057,3,1,0,145,145,93,5,4,19,0
3585,0,1,0,340,340,89,9,1,3,0
942,6,0,1,110,110,57,26,5,14,0
1639,1,1,2,70,70,75,3,6,14,0
2842,3,0,0,180,180,50,20,5,12,0
4132,1,0,2,70,70,62,10,5,22,0
1885,2,1,2,0,0,44,13,4,22,0
4517,1,1,2,90,90,82,17,0,12,0
1633,2,1,2,0,0,65,28,0,0,0
3358,6,0,1,110,110,90,7,5,9,0
4539,2,1,2,0,0,92,26,2,16,0
1401,1,1,2,100,100,94,16,4,5,0
4279,1,1,2,70,70,54,13,0,12,0
1367,2,1,2,0,0,88,10,5,7,0
4900,3,0,0,145,145,53,31,1,16,0
482,3,0,0,180,180,56,19,3,7,0
1439,6,1,1,130,130,90,23,0,22,0
4322,2,1,2,0,0,52,15,2,3,0
4004,3,0,0,140,140,78,31,0,15,0
2027,6,1,1,125,125,89,4,1,19,0
3614,1,0,2,100,100,45,24,2,19,0
4066,4,0,1,110,110,70,6,1,12,0
4945,2,1,2,0,0,79,6,3,17,0
910,0,0,0,290,290,90,29,1,0,0
3905,4,1,1,120,120,87,6,2,21,0
2832,5,0,0,350,350,68,3,3,2,0
3108,3,0,0,130,130,42,8,4,2,0
3757,6,1,1,130,130,81,29,2,17,0
4325,4,1,1,110,110,53,8,0,1,0
2329,4,1,1,115,115,87,19,5,3,0
4533,5,1,0,330,330,78,16,5,19,0
4133,2,1,2,0,0,65,26,0,14,0
4174,1,0,2,70,70,68,12,4,22,0
151,6,1,1,140,140,82,9,4,9,0
3121,4,1,1,100,100,56,9,1,10,0
1914,5,0,0,300,300,65,12,5,7,0
4759,4,1,1,115,115,84,16,6,5,0
3261,4,1,1,100,100,35,7,5,23,0
3885,3,1,0,150,150,84,1,6,1,0
963,6,1,1,110,110,89,3,1,18,0
50,1,0,2,120,120,69,25,6,13,0
2634,1,0,2,120,120,53,29,2,20,0
3305,0,1,0,290,290,76,22,3,5,0
3944,2,1,2,0,0,44,14,2,1,0
2723,3,1,0,180,180,85,11,2,12,0
1952,3,0,0,140,140,74,20,2,7,0
1801,2,1,2,0,0,50,7,4,19,0
4678,1,0,2,90,90,44,14,2,2,0
4134,5,0,0,300,300,74,15,5,5,0
3597,4,1,1,120,120,81,19,3,20,0
3737,4,1,1,120,120,79,23,6,21,0
1830,5,0,0,300,300,54,9,1,17,0
4187,0,1,0,300,300,68,23,2,9,0
4749,2,1,2,0,0,81,29,4,19,0
2866,2,1,2,0,0,44,27,1,22,0
3901,1,1,2,100,100,94,29,3,8,0
789,4,1,1,100,100,34,9,0,7,0
3850,3,0,0,150,150,46,27,1,12,0
673,1,1,2,60,60,43,8,3,8,0
1624,0,0,0,300,300,55,17,3,0,0
2977,1,1,2,120,120,73,19,4,18,0
3838,1,0,2,100,100,53,4,4,19,0
3285,1,1,2,60,60,10,21,0,8,0
1485,1,1,2,100,100,93,8,4,3,0
1143,2,1,2,0,0,86,30,5,16,0
2234,1,0,2,90,90,66,12,6,1,0
1656,6,0,1,120,120,63,24,6,10,0
4521,4,1,1,115,115,76,24,5,2,0
2211,3,1,0,145,145,83,2,0,21,0
4801,4,1,1,115,115,88,18,1,21,0
2084,4,0,1,115,115,47,1,0,3,0
3414,6,0,1,110,110,65,11,1,14,0
4925,5,1,0,330,330,95,29,5,19,0
861,0,1,0,290,290,65,5,3,10,0
3703,3,1,0,150,150,74,23,4,1,0
4997,4,1,1,115,115,93,5,0,5,0
1727,4,1,1,110,110,44,12,2,10,0
2663,2,1,2,0,0,78,27,3,11,0
2768,2,1,2,0,0,55,5,6,10,0
4039,3,1,0,140,140,68,11,5,2,0
4479,4,1,1,110,110,80,16,6,2,0
3184,4,0,1,100,100,52,16,6,20,0
3262,3,0,0,130,130,36,22,6,14,0
725,6,1,1,110,110,53,1,6,19,0
537,4,1,1,100,100,86,13,2,11,0
2505,4,1,1,160,160,105,28,2,11,0
883,1,1,2,60,60,55,19,2,12,0
3434,5,0,0,290,290,85,7,2,12,0
2447,6,1,1,125,125,97,22,1,14,0
4808,4,0,1,115,115,66,18,2,9,0
3989,4,1,1,120,120,97,19,3,22,0
2412,6,0,1,125,125,50,19,0,3,0
925,1,1,2,60,60,76,25,6,10,0
3569,4,1,1,120,120,96,5,4,19,0
4876,5,0,0,330,330,65,18,0,5,0
2430,1,0,2,90,90,66,12,2,19,0
4843,4,1,1,115,115,74,4,1,22,0
4404,0,0,0,300,300,44,14,3,20,0
3038,3,0,0,130,130,40,28,0,11,0
3541,4,1,1,120,120,90,2,1,7,0
3965,2,1,2,0,0,91,6,1,12,0
4246,5,0,0,300,300,55,8,3,6,0
1544,6,0,1,120,120,65,13,1,6,0
4641,3,1,0,145,145,92,22,4,7,0
2811,5,1,0,350,350,76,9,2,14,0
4005,0,1,0,300,300,63,7,6,6,0
2502,2,1,2,0,0,53,10,2,12,0
1665,3,1,0,140,140,78,4,2,7,0
4964,0,0,0,330,330,62,27,4,23,0
2237,6,1,1,125,125,78,27,1,8,0
2453,5,1,0,330,330,92,24,0,3,0
4180,0,0,0,300,300,68,24,2,20,0
555,2,1,2,0,0,46,11,3,0,0
2054,5,0,0,330,330,59,2,1,1,0
4113,5,1,0,300,300,68,30,6,17,0
2945,6,1,1,140,140,75,23,0,4,0
4792,5,0,0,330,330,52,19,3,3,0
1130,5,0,0,340,340,50,17,6,3,0
3720,2,1,2,0,0,49,7,4,23,0
744,2,1,2,0,0,53,28,4,2,0
1187,6,1,1,130,130,89,13,0,14,0
2391,6,1,1,125,125,73,23,1,3,0
2292,5,0,0,330,330,52,21,5,14,0
3275,4,1,1,100,100,78,30,4,22,0
4558,0,0,0,330,330,45,11,5,21,0
857,5,1,0,290,290,78,14,2,1,0
1396,5,0,0,340,340,51,11,6,8,0
2116,2,1,2,0,0,57,8,5,22,0
1255,2,1,2,0,0,91,14,5,19,0
1381,2,1,2,0,0,75,24,5,18,0
4010,4,0,1,110,110,73,4,2,11,0
2191,0,1,0,330,330,82,8,5,0,0
4954,6,0,1,125,125,50,6,1,12,0
3491,6,1,1,110,110,84,7,3,2,0
2352,0,0,0,330,330,60,12,4,9,0
1517,4,1,1,110,110,78,13,5,15,0
4882,2,1,2,0,0,44,28,4,1,0
4655,3,1,0,145,145,75,11,6,7,0
3165,0,1,0,290,290,45,22,0,15,0
3704,0,0,0,340,340,58,10,5,17,0
1418,6,0,1,130,130,62,2,0,4,0
2517,5,1,0,350,350,84,21,3,4,0
3618,4,0,1,120,120,49,30,4,9,0
4635,0,1,0,330,330,78,11,6,9,0
4275,6,1,1,120,120,47,4,0,22,0
3963,0,1,0,340,340,84,30,1,6,0
3405,2,1,2,0,0,76,7,5,19,0
2880,2,1,2,0,0,56,17,1,22,0
3809,0,1,0,340,340,98,6,5,3,0
4794,4,0,1,115,115,56,22,2,9,0
1769,4,1,1,110,110,57,1,3,16,0
2717,0,1,0,350,350,79,30,4,16,0
2046,2,1,2,0,0,60,23,6,17,0
3644,5,0,0,340,340,71,10,6,2,0
3258,2,1,2,0,0,32,13,1,1,0
675,5,1,0,290,290,37,10,5,20,0
872,6,0,1,110,110,45,12,6,11,0
2102,2,1,2,0,0,52,23,6,20,0
1573,4,1,1,110,110,75,18,6,1,0
4145,0,1,0,300,300,70,5,1,7,0
3587,2,1,2,0,0,78,12,0,10,0
3628,1,0,2,100,100,59,18,1,19,0
2621,2,1,2,0,0,85,20,5,11,0
4104,1,0,2,70,70,70,29,6,23,0
1542,2,1,2,0,0,63,11,6,1,0
1768,6,0,1,120,120,42,31,2,14,0
2345,0,1,0,330,330,92,6,1,18,0
2948,0,0,0,350,350,66,11,0,3,0
2853,5,1,0,350,350,73,20,4,13,0
2781,1,1,2,120,120,94,14,2,18,0
3232,6,0,1,110,110,56,28,2,11,0
279,3,1,0,180,180,84,20,1,6,0
785,1,1,2,60,60,10,17,5,22,0
1806,0,0,0,300,300,42,13,3,7,0
740,4,0,1,100,100,49,10,1,4,0
3464,4,0,1,100,100,52,12,0,17,0
445,6,1,1,140,140,75,13,1,18,0
4575,5,1,0,330,330,89,27,6,19,0
1016,1,0,2,100,100,55,30,1,11,0
1834,0,0,0,300,300,45,14,6,3,0
148,1,0,2,120,120,51,6,1,18,0
1927,2,1,2,0,0,98,25,4,16,0
1883,0,1,0,300,300,47,11,2,10,0
706,3,0,0,130,130,53,13,1,20,0
3501,0,1,0,340,340,82,25,6,13,0
177,2,1,2,0,0,84,7,2,12,0
865,6,1,1,110,110,76,25,6,19,0
4375,3,1,0,140,140,60,4,6,5,0
1848,0,0,0,300,300,59,29,0,11,0
2903,6,1,1,140,140,81,19,5,5,0
2085,3,1,0,145,145,73,2,1,9,0
2406,4,0,1,115,115,45,18,2,13,0
903,0,1,0,290,290,80,12,2,9,0
3417,0,1,0,290,290,68,21,6,13,0
2438,2,1,2,0,0,49,21,0,15,0
4228,3,0,0,140,140,59,9,0,17,0
4540,5,0,0,330,330,57,11,3,8,0
3341,1,1,2,60,60,90,12,4,16,0
1683,5,1,0,300,300,65,24,1,1,0
310,2,1,2,0,0,48,20,4,12,0
3924,5,0,0,340,340,49,19,3,3,0
2586,2,1,2,0,0,52,18,5,14,0
3888,2,1,2,0,0,47,23,3,23,0
1795,5,1,0,300,300,51,1,5,5,0
1594,4,0,1,110,110,68,11,2,2,0
3872,0,0,0,340,340,53,24,5,15,0
232,1,0,2,120,120,46,1,3,16,0
3551,1,1,2,100,100,93,14,2,17,0
2929,2,1,2,0,0,74,31,1,22,0
828,2,1,2,0,0,98,30,2,23,0
4717,4,1,1,115,115,93,5,4,5,0
3176,6,0,1,110,110,54,2,3,16,0
4347,3,1,0,140,140,44,21,6,5,0
456,1,0,2,120,120,56,24,5,2,0
256,6,0,1,140,140,47,25,6,13,0
65,2,1,2,0,0,80,12,0,13,0
3368,0,0,0,290,290,88,16,6,17,0
2573,5,1,0,350,350,82,7,6,4,0
4177,6,1,1,120,120,63,4,1,21,0
2411,5,1,0,330,330,98,14,6,0,0
898,2,1,2,0,0,68,16,4,21,0
2592,1,0,2,120,120,60,28,2,11,0
4472,4,0,1,110,110,58,15,2,14,0
4422,6,0,1,120,120,45,18,2,10,0
944,3,0,0,130,130,59,8,2,21,0
2990,0,0,0,350,350,74,19,5,2,0
4097,1,1,2,70,70,72,30,4,11,0
2692,5,0,0,350,350,48,21,5,2,0
1583,1,1,2,70,70,77,30,4,1,0
4566,1,0,2,90,90,70,28,4,0,0
380,2,1,2,0,0,56,7,6,14,0
1813,0,1,0,300,300,47,22,5,23,0
2041,6,1,1,125,125,83,18,1,10,0
986,3,0,0,130,130,64,27,5,10,0
4920,4,0,1,115,115,48,4,2,13,0
3847,5,1,0,340,340,86,8,0,14,0
4439,0,1,0,300,300,87,30,1,9,0
2364,4,0,1,115,115,45,10,5,15,0
4831,0,1,0,330,330,94,14,0,5,0
2949,1,1,2,120,120,93,30,5,18,0
3304,3,0,0,130,130,45,7,2,14,0
3925,6,1,1,130,130,78,4,4,19,0
1158,5,0,0,340,340,66,15,6,16,0
1319,5,1,0,340,340,77,16,6,21,0
4915,0,1,0,330,330,84,11,2,8,0
2971,2,1,2,0,0,95,9,0,21,0
4387,6,1,1,120,120,54,27,0,22,0
2614,2,1,2,0,0,52,20,3,23,0
658,0,0,0,290,290,51,24,2,10,0
1297,2,1,2,0,0,85,25,5,9,0
2885,0,1,0,350,350,76,12,4,3,0
1203,3,1,0,150,150,74,29,2,15,0
2918,4,0,1,160,160,71,23,1,20,0
2494,2,1,2,0,0,46,7,2,0,0
3342,2,1,2,0,0,80,29,0,8,0
759,5,1,0,290,290,33,4,2,12,0
3432,1,0,2,60,60,83,3,2,5,0
3866,1,0,2,100,100,59,14,1,19,0
1325,2,1,2,0,0,95,22,5,2,0
2258,6,0,1,125,125,59,19,4,7,0
1897,0,1,0,300,300,49,25,2,21,0
3179,0,1,0,290,290,49,20,3,15,0
1413,3,1,0,150,150,85,28,2,7,0
1051,1,1,2,100,100,93,4,3,22,0
404,4,0,1,160,160,64,31,2,11,0
4341,0,1,0,300,300,52,9,0,8,0
4819,2,1,2,0,0,93,22,0,12,0
2959,6,1,1,140,140,97,17,0,4,0
4524,1,0,2,90,90,67,14,6,0,0
2745,0,1,0,350,350,93,13,4,15,0
1875,3,1,0,140,140,60,3,2,18,0
3678,2,1,2,0,0,70,1,0,22,0
1997,2,1,2,0,0,96,5,6,4,0
863,2,1,2,0,0,65,15,5,15,0
3781,0,1,0,340,340,93,30,6,3,0
1667,1,1,2,70,70,65,6,4,12,0
3331,4,1,1,100,100,55,4,4,10,0
3441,5,1,0,290,290,56,24,5,0,0
1072,1,0,2,100,100,62,20,4,9,0
2083,6,1,1,125,125,87,31,0,20,0
773,5,1,0,290,290,45,25,6,19,0
1558,6,0,1,120,120,55,28,2,14,0
3268,4,0,1,100,100,89,1,2,11,0
1691,6,1,1,120,120,63,2,3,22,0
2641,1,1,2,120,120,84,25,1,8,0
4268,6,0,1,120,120,42,7,2,11,0
3507,3,1,0,150,150,92,26,0,9,0
3428,6,0,1,110,110,79,26,3,15,0
3602,5,0,0,340,340,58,12,3,1,0
2898,3,0,0,180,180,60,23,2,11,0
2457,0,1,0,330,330,89,23,2,12,0
4099,5,1,0,300,300,68,3,3,18,0
4102,3,0,0,140,140,60,25,0,16,0
639,2,1,2,0,0,43,5,3,19,0
332,5,0,0,350,350,68,12,5,23,0
3138,1,0,2,60,60,54,25,3,8,0
2338,0,0,0,330,330,44,21,0,2,0
3567,5,1,0,340,340,80,14,4,12,0
1223,4,1,1,120,120,95,18,1,16,0
296,2,1,2,0,0,60,6,4,15,0
4169,5,1,0,300,300,82,20,4,17,0
3810,1,0,2,100,100,48,23,1,18,0
4267,5,1,0,300,300,60,23,1,19,0
3455,5,1,0,290,290,90,19,4,23,0
671,3,1,0,130,130,39,6,1,19,0
968,2,1,2,0,0,44,5,4,8,0
3203,5,1,0,290,290,52,31,1,21,0
2656,2,1,2,0,0,65,30,3,23,0
4366,6,0,1,120,120,44,6,3,11,0
1482,4,0,1,120,120,50,5,1,14,0
4731,4,1,1,115,115,89,31,4,5,0
3591,3,1,0,150,150,76,8,0,0,0
2521,0,1,0,350,350,90,28,1,17,0
193,6,1,1,140,140,77,23,4,21,0
2812,6,0,1,140,140,58,28,0,5,0
4738,4,0,1,115,115,61,27,3,18,0
2134,3,0,0,145,145,44,16,4,11,0
3654,3,0,0,150,150,55,29,3,12,0
2899,0,1,0,350,350,83,7,3,2,0
105,0,1,0,350,350,90,21,5,16,0
646,2,1,2,0,0,40,12,4,8,0
3747,1,1,2,100,100,99,11,6,7,0
951,3,1,0,130,130,90,22,6,10,0
2970,1,0,2,120,120,67,21,3,6,0
3034,2,1,2,0,0,83,20,1,22,0
1330,0,0,0,340,340,47,4,3,20,0
2496,6,0,1,125,125,64,18,2,4,0
2078,3,0,0,145,145,67,26,2,13,0
2217,4,1,1,115,115,93,11,3,11,0
768,4,0,1,100,100,89,31,3,8,0
2082,5,0,0,330,330,62,30,6,15,0
2426,6,0,1,125,125,73,21,5,10,0
3031,3,1,0,130,130,80,26,4,23,0
1547,0,1,0,300,300,68,16,4,13,0
1969,2,1,2,0,0,92,7,5,16,0
1322,3,0,0,150,150,49,19,2,11,0
4178,4,0,1,110,110,72,20,3,13,0
4042,2,1,2,0,0,63,3,2,1,0
2397,5,1,0,330,330,84,23,2,17,0
1387,1,1,2,100,100,97,2,4,19,0
836,5,0,0,290,290,76,28,4,2,0
338,2,1,2,0,0,53,18,4,6,0
3188,2,1,2,0,0,47,14,2,9,0
2997,0,1,0,350,350,90,13,3,14,0
2908,2,1,2,0,0,55,15,2,10,0
2478,0,0,0,330,330,63,28,3,12,0
1842,1,0,2,70,70,46,22,0,21,0
4943,0,1,0,330,330,86,3,4,10,0
2245,4,1,1,115,115,83,19,2,2,0
3469,5,1,0,290,290,78,3,6,22,0
2398,6,0,1,125,125,65,28,3,19,0
3102,0,0,0,290,290,56,25,6,5,0
385,0,1,0,350,350,76,12,4,15,0
3257,1,1,2,60,60,31,29,0,10,0
2731,0,1,0,350,350,96,24,5,16,0
3411,1,1,2,60,60,87,18,3,16,0
1549,2,1,2,0,0,58,18,6,17,0
2065,0,1,0,330,330,82,13,5,21,0
3655,0,1,0,340,340,81,18,1,3,0
4189,2,1,2,0,0,75,26,1,15,0
2793,3,1,0,180,180,90,2,1,12,0
779,2,1,2,0,0,89,7,5,9,0
66,5,0,0,350,350,62,13,1,18,0
2165,2,1,2,0,0,73,20,6,22,0
500,5,0,0,290,290,60,7,0,21,0
1433,4,1,1,120,120,82,17,1,20,0
1316,0,0,0,340,340,62,13,3,6,0
461,3,1,0,180,180,84,29,3,2,0
3619,3,1,0,150,150,78,18,2,0,0
3549,3,1,0,150,150,81,8,3,10,0
3749,5,1,0,340,340,82,14,5,14,0
453,4,1,1,160,160,86,21,2,11,0
3622,2,1,2,0,0,56,6,2,23,0
235,6,1,1,140,140,88,4,6,8,0
1677,6,1,1,120,120,63,17,1,11,0
3700,5,0,0,340,340,63,2,1,3,0
2551,2,1,2,0,0,94,5,4,0,0
962,5,0,0,290,290,71,28,0,14,0
4983,4,1,1,115,115,85,13,2,4,0
4258,1,0,2,70,70,44,4,1,0,0
2712,2,1,2,0,0,67,5,4,11,0
1010,2,1,2,0,0,61,20,1,16,0
1758,1,0,2,70,70,44,19,4,15,0
4190,5,0,0,300,300,58,11,2,7,0
2902,5,0,0,350,350,46,4,4,14,0
1560,3,0,0,140,140,72,2,4,19,0
1117,6,1,1,130,130,92,4,0,10,0
2175,4,1,1,115,115,79,12,0,15,0
4756,2,1,2,0,0,50,28,6,7,0
2666,4,0,1,160,160,55,9,4,9,0
3977,0,1,0,340,340,96,28,4,5,0
4167,1,1,2,70,70,65,16,5,10,0
4440,1,0,2,70,70,52,18,6,1,0
834,1,0,2,60,60,76,1,0,12,0
2986,5,0,0,350,350,49,11,6,12,0
811,3,1,0,130,130,76,12,2,9,0
799,1,1,2,60,60,76,1,6,6,0
2841,4,1,1,160,160,91,1,0,20,0
1614,6,0,1,120,120,65,5,5,1,0
3167,2,1,2,0,0,49,25,6,22,0
2470,3,0,0,145,145,53,8,5,18,0
4626,4,0,1,115,115,67,9,1,15,0
2699,5,1,0,350,350,81,18,5,14,0
2747,2,1,2,0,0,80,15,2,22,0
1596,0,0,0,300,300,60,13,4,7,0
3568,6,0,1,130,130,67,29,5,4,0
3243,1,1,2,60,60,58,6,2,11,0
4728,2,1,2,0,0,67,8,6,6,0
4119,2,1,2,0,0,78,29,3,14,0
4883,5,1,0,330,330,78,13,5,17,0
1343,3,1,0,150,150,81,17,2,3,0
2588,6,0,1,140,140,66,21,4,21,0
1489,4,1,1,120,120,97,12,1,20,0
2729,4,1,1,160,160,83,21,6,9,0
4160,1,0,2,70,70,55,17,5,22,0
387,2,1,2,0,0,88,14,6,1,0
1564,5,0,0,300,300,68,7,2,4,0
4197,5,1,0,300,300,82,11,6,19,0
4154,2,1,2,0,0,75,9,4,2,0
3613,0,1,0,340,340,89,7,6,4,0
1661,2,1,2,0,0,68,29,4,22,0
4652,5,0,0,330,330,64,26,2,9,0
1243,6,1,1,130,130,93,2,0,7,0
3140,5,0,0,290,290,56,28,2,15,0
2353,1,1,2,90,90,88,17,5,12,0
2193,2,1,2,0,0,84,18,6,5,0
3339,3,1,0,130,130,76,15,5,11,0
3135,4,1,1,100,100,51,6,3,10,0
3021,5,1,0,290,290,70,17,4,13,0
103,4,1,1,160,160,82,19,3,7,0
2887,2,1,2,0,0,88,15,3,9,0
4552,1,0,2,90,90,50,30,0,1,0
3385,5,1,0,290,290,75,2,1,10,0
3801,3,1,0,150,150,81,3,0,0,0
1182,3,0,0,150,150,69,8,2,13,0
3160,2,1,2,0,0,59,3,5,10,0
4681,6,1,1,125,125,95,2,2,1,0
1284,5,0,0,340,340,69,12,6,15,0
1538,4,0,1,110,110,60,5,0,16,0
1945,3,1,0,140,140,96,13,2,13,0
3080,3,0,0,130,130,59,4,4,10,0
4336,2,1,2,0,0,48,12,3,3,0
2736,4,0,1,160,160,53,10,5,21,0
3586,1,0,2,100,100,54,24,2,18,0
4695,6,1,1,125,125,94,29,5,1,0
1869,0,1,0,300,300,43,22,3,12,0
354,6,0,1,140,140,56,3,6,12,0
2296,0,0,0,330,330,69,11,1,23,0
3129,3,1,0,130,130,49,27,6,13,0
2210,4,0,1,115,115,60,28,0,19,0
3384,2,1,2,0,0,65,13,3,19,0
1398,4,0,1,120,120,60,13,1,16,0
1890,0,0,0,300,300,50,18,2,4,0
1713,4,1,1,110,110,75,28,1,1,0
312,6,0,1,140,140,58,22,6,22,0
4703,4,1,1,115,115,85,14,0,5,0
168,0,0,0,350,350,62,26,0,18,0
2110,5,0,0,330,330,71,2,6,10,0
2981,4,1,1,160,160,82,25,1,7,0
