,buying,maint,doors,persons,lug_boot,safety,result
1117,1,1,3,4,0,1,1
1234,1,0,3,6,0,1,1
1469,0,2,4,4,0,2,1
1637,0,0,2,4,2,2,1
671,2,1,2,6,1,2,1
965,1,3,5,6,0,2,1
907,1,3,3,4,2,1,1
833,2,0,4,6,1,2,1
1157,1,1,4,6,1,2,1
862,2,0,5,6,2,1,1
1226,1,0,3,4,0,2,1
1718,0,0,5,4,2,2,1
620,2,2,4,6,2,2,1
1417,0,2,2,4,1,1,1
1564,0,1,3,6,2,1,1
1685,0,0,4,4,0,2,1
1373,0,3,4,6,1,2,1
1726,0,0,5,6,2,1,1
806,2,0,3,6,1,2,1
961,1,3,5,4,2,1,1
944,1,3,4,6,2,2,1
1588,0,1,4,6,1,1,1
1498,0,2,5,4,1,1,1
859,2,0,5,6,1,1,1
1279,1,0,5,4,0,1,1
1214,1,0,2,6,2,2,1
643,2,2,5,6,1,1,1
1133,1,1,3,6,2,2,1
941,1,3,4,6,1,2,1
934,1,3,4,4,2,1,1
1535,0,1,2,6,1,2,1
779,2,0,2,6,1,2,1
239,3,1,2,6,1,2,1
850,2,0,5,4,1,1,1
1204,1,0,2,4,2,1,1
1483,0,2,4,6,2,1,1
335,3,0,2,4,0,2,1
995,1,2,2,6,1,2,1
1630,0,0,2,4,0,1,1
1504,0,2,5,6,0,1,1
317,3,1,5,6,0,2,1
889,1,3,2,6,2,1,1
1118,1,1,3,4,0,2,1
268,3,1,3,6,2,1,1
583,2,2,3,4,2,1,1
1048,1,2,4,6,1,1,1
797,2,0,3,4,1,2,1
374,3,0,3,6,1,2,1
1615,0,1,5,6,1,1,1
722,2,1,4,6,0,2,1
1450,0,2,3,6,0,1,1
1375,0,3,4,6,2,1,1
935,1,3,4,4,2,2,1
1430,0,2,2,6,2,2,1
607,2,2,4,4,1,1,1
754,2,1,5,6,2,1,1
1484,0,2,4,6,2,2,1
1349,0,3,3,6,2,2,1
1723,0,0,5,6,1,1,1
755,2,1,5,6,2,2,1
878,1,3,2,4,1,2,1
665,2,1,2,4,2,2,1
1093,1,1,2,4,1,1,1
1589,0,1,4,6,1,2,1
743,2,1,5,4,1,2,1
1228,1,0,3,4,1,1,1
958,1,3,5,4,1,1,1
1633,0,0,2,4,1,1,1
1472,0,2,4,4,1,2,1
782,2,0,2,6,2,2,1
911,1,3,3,6,0,2,1
908,1,3,3,4,2,2,1
1175,1,1,5,4,1,2,1
1174,1,1,5,4,1,1,1
566,2,2,2,6,2,2,1
1372,0,3,4,6,1,1,1
1474,0,2,4,4,2,1,1
263,3,1,3,6,0,2,1
422,3,0,5,4,2,2,1
1390,0,3,5,4,1,1,1
728,2,1,4,6,2,2,1
1229,1,0,3,4,1,2,1
1079,1,2,5,6,2,2,1
1616,0,1,5,6,1,2,1
1256,1,0,4,4,1,2,1
1145,1,1,4,4,0,2,1
1102,1,1,2,6,1,1,1
290,3,1,4,6,0,2,1
1537,0,1,2,6,2,1,1
1025,1,2,3,6,2,2,1
1607,0,1,5,4,1,2,1
1613,0,1,5,6,0,2,1
614,2,2,4,6,0,2,1
808,2,0,3,6,2,1,1
646,2,2,5,6,2,1,1
1580,0,1,4,4,1,2,1
376,3,0,3,6,2,1,1
1609,0,1,5,4,2,1,1
1670,0,0,3,6,1,2,1
1144,1,1,4,4,0,1,1
1643,0,0,2,6,1,2,1
1231,1,0,3,4,2,1,1
1184,1,1,5,6,1,2,1
956,1,3,5,4,0,2,1
1691,0,0,4,4,2,2,1
1180,1,1,5,6,0,1,1
713,2,1,4,4,0,2,1
835,2,0,4,6,2,1,1
1361,0,3,4,4,0,2,1
1370,0,3,4,6,0,2,1
338,3,0,2,4,1,2,1
674,2,1,2,6,2,2,1
1421,0,2,2,4,2,2,1
1285,1,0,5,4,2,1,1
1697,0,0,4,6,1,2,1
1684,0,0,4,4,0,1,1
1039,1,2,4,4,1,1,1
1264,1,0,4,6,1,1,1
916,1,3,3,6,2,1,1
770,2,0,2,4,1,2,1
1259,1,0,4,4,2,2,1
1159,1,1,4,6,2,1,1
1414,0,2,2,4,0,1,1
853,2,0,5,4,2,1,1
772,2,0,2,4,2,1,1
281,3,1,4,4,0,2,1
233,3,1,2,4,2,2,1
718,2,1,4,4,2,1,1
320,3,1,5,6,1,2,1
1586,0,1,4,6,0,2,1
1673,0,0,3,6,2,2,1
1456,0,2,3,6,2,1,1
1186,1,1,5,6,2,1,1
1268,1,0,4,6,2,2,1
700,2,1,3,6,2,1,1
1445,0,2,3,4,1,2,1
1447,0,2,3,4,2,1,1
989,1,2,2,4,2,2,1
824,2,0,4,4,1,2,1
1508,0,2,5,6,1,2,1
1096,1,1,2,4,2,1,1
701,2,1,3,6,2,2,1
1105,1,1,2,6,2,1,1
931,1,3,4,4,1,1,1
848,2,0,5,4,0,2,1
938,1,3,4,6,0,2,1
1121,1,1,3,4,1,2,1
1051,1,2,4,6,2,1,1
632,2,2,5,4,0,2,1
1688,0,0,4,4,1,2,1
914,1,3,3,6,1,2,1
1715,0,0,5,4,1,2,1
1394,0,3,5,4,2,2,1
1267,1,0,4,6,2,1,1
565,2,2,2,6,2,1,1
1714,0,0,5,4,1,1,1
1534,0,1,2,6,1,1,1
727,2,1,4,6,2,1,1
418,3,0,5,4,1,1,1
1286,1,0,5,4,2,2,1
809,2,0,3,6,2,2,1
887,1,3,2,6,1,2,1
1582,0,1,4,4,2,1,1
832,2,0,4,6,1,1,1
968,1,3,5,6,1,2,1
1495,0,2,5,4,0,1,1
1075,1,2,5,6,1,1,1
805,2,0,3,6,1,1,1
1016,1,2,3,4,2,2,1
749,2,1,5,6,0,2,1
716,2,1,4,4,1,2,1
634,2,2,5,4,1,1,1
767,2,0,2,4,0,2,1
617,2,2,4,6,1,2,1
1619,0,1,5,6,2,2,1
917,1,3,3,6,2,2,1
725,2,1,4,6,1,2,1
581,2,2,3,4,1,2,1
1073,1,2,5,6,0,2,1
940,1,3,4,6,1,1,1
1526,0,1,2,4,1,2,1
584,2,2,3,4,2,2,1
428,3,0,5,6,1,2,1
1579,0,1,4,4,1,1,1
773,2,0,2,4,2,2,1
419,3,0,5,4,1,2,1
1522,0,1,2,4,0,1,1
610,2,2,4,4,2,1,1
1442,0,2,3,4,0,2,1
1126,1,1,3,6,0,1,1
1321,0,3,2,6,2,1,1
664,2,1,2,4,2,1,1
1717,0,0,5,4,2,1,1
1712,0,0,5,4,0,2,1
1418,0,2,2,4,1,2,1
823,2,0,4,4,1,1,1
365,3,0,3,4,1,2,1
431,3,0,5,6,2,2,1
1606,0,1,5,4,1,1,1
1199,1,0,2,4,0,2,1
611,2,2,4,4,2,2,1
592,2,2,3,6,2,1,1
1283,1,0,5,4,1,2,1
719,2,1,4,4,2,2,1
1091,1,1,2,4,0,2,1
340,3,0,2,4,2,1,1
241,3,1,2,6,2,1,1
400,3,0,4,6,1,1,1
1123,1,1,3,4,2,1,1
1172,1,1,5,4,0,2,1
1553,0,1,3,4,1,2,1
1288,1,0,5,6,0,1,1
1402,0,3,5,6,2,1,1
1094,1,1,2,4,1,2,1
637,2,2,5,4,2,1,1
1130,1,1,3,6,1,2,1
1127,1,1,3,6,0,2,1
1076,1,2,5,6,1,2,1
1592,0,1,4,6,2,2,1
1339,0,3,3,4,2,1,1
266,3,1,3,6,1,2,1
1064,1,2,5,4,0,2,1
1657,0,0,3,4,0,1,1
1205,1,0,2,4,2,2,1
427,3,0,5,6,1,1,1
314,3,1,5,4,2,2,1
644,2,2,5,6,1,2,1
1015,1,2,3,4,2,1,1
1024,1,2,3,6,2,1,1
1178,1,1,5,4,2,2,1
605,2,2,4,4,0,2,1
1420,0,2,2,4,2,1,1
1475,0,2,4,4,2,2,1
377,3,0,3,6,2,2,1
1322,0,3,2,6,2,2,1
593,2,2,3,6,2,2,1
1507,0,2,5,6,1,1,1
1177,1,1,5,4,2,1,1
1561,0,1,3,6,1,1,1
392,3,0,4,4,1,2,1
1291,1,0,5,6,1,1,1
322,3,1,5,6,2,1,1
1307,0,3,2,4,0,2,1
416,3,0,5,4,0,2,1
1690,0,0,4,4,2,1,1
286,3,1,4,4,2,1,1
1693,0,0,4,6,0,1,1
1295,1,0,5,6,2,2,1
1711,0,0,5,4,0,1,1
635,2,2,5,4,1,2,1
1187,1,1,5,6,2,2,1
401,3,0,4,6,1,2,1
1340,0,3,3,4,2,2,1
1334,0,3,3,4,0,2,1
1523,0,1,2,4,0,2,1
371,3,0,3,6,0,2,1
1042,1,2,4,4,2,1,1
373,3,0,3,6,1,1,1
1694,0,0,4,6,0,2,1
