,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
32,M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,negative
33,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,negative
34,I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,negative
35,F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,negative
36,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,negative
37,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,negative
38,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,negative
39,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,negative
40,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,negative
41,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,negative
42,I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,negative
43,F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,negative
44,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,negative
45,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,negative
46,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,negative
47,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,negative
48,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,negative
49,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,negative
50,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,negative
51,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,negative
52,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,negative
53,M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,negative
54,F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,negative
55,M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,negative
56,F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,negative
57,F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,negative
58,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,negative
59,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,negative
60,F,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,negative
61,M,0.58,0.45,0.14,1.013,0.38,0.216,0.36,negative
62,F,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,negative
63,F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,negative
64,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,negative
65,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,negative
66,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,negative
67,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,negative
68,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,negative
69,M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,negative
70,M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,negative
71,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,negative
72,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,negative
73,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,negative
74,M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,negative
75,M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,negative
76,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,negative
77,F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,negative
78,F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,negative
79,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,negative
80,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,negative
81,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,negative
82,I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,negative
83,M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,negative
84,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,negative
85,F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,negative
86,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,negative
87,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,negative
88,F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,negative
89,M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,negative
90,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,negative
91,I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,negative
92,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,negative
93,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,negative
94,I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,negative
95,I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,negative
96,I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,negative
97,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,positive
98,M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,negative
99,M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,negative
100,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,negative
101,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,negative
102,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,negative
103,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,negative
104,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,negative
105,F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,negative
106,M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,negative
107,F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,negative
108,F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,negative
109,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,negative
110,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,negative
111,F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,negative
112,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,negative
113,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,negative
114,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,negative
115,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,negative
116,F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,negative
117,F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,negative
118,F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,negative
119,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,negative
120,F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,negative
121,M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,negative
122,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,negative
123,M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,negative
124,F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,negative
125,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,negative
126,F,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,negative
127,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,negative
128,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,negative
129,F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,negative
130,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,negative
131,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,negative
132,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,negative
133,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,negative
134,F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,negative
135,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,negative
136,I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,negative
137,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,negative
138,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,negative
139,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,negative
140,M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,negative
141,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,negative
142,F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,negative
143,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,negative
144,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,negative
145,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,negative
146,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,negative
147,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,negative
148,M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,negative
149,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,negative
150,I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,negative
151,F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,negative
152,M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,negative
153,F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,negative
154,M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,negative
155,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,negative
156,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,negative
157,M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,negative
158,F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,negative
159,M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,negative
160,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,negative
161,I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,negative
162,I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,negative
163,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,negative
164,I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,negative
165,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,negative
166,M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,negative
167,F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,negative
168,M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,negative
169,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,negative
170,M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,negative
171,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,negative
172,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,negative
173,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,negative
174,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,negative
175,F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,negative
176,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,negative
177,I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,negative
178,F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,negative
179,F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,negative
180,I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,negative
181,F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,negative
182,F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,negative
183,M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,negative
184,M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,negative
185,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,negative
186,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,negative
187,I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,negative
188,I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,negative
189,M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,negative
190,I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,negative
191,I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,negative
192,I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,negative
193,I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,negative
194,I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,negative
195,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,negative
196,I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,negative
197,I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,negative
198,I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,negative
199,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,negative
200,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,negative
201,F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,negative
202,M,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,negative
203,M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,negative
204,M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,positive
205,M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,negative
206,F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,negative
207,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,negative
208,F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,negative
209,M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,negative
210,I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,negative
211,M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,negative
212,F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,negative
213,M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,negative
214,M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,negative
215,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,negative
216,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,negative
217,M,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,negative
218,M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,negative
219,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,negative
220,M,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,negative
221,M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,negative
222,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,negative
223,M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,negative
224,M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,negative
225,F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,negative
226,F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,negative
227,I,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,negative
228,F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,negative
229,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,negative
230,F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,negative
231,M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,negative
232,F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,negative
233,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,negative
234,F,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,negative
235,M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,negative
236,F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,negative
237,M,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,negative
238,M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,negative
239,I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,negative
240,I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,negative
241,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,negative
242,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,negative
243,M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,negative
244,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,negative
245,F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,negative
246,M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,negative
247,M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,negative
248,I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,negative
249,M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,negative
250,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,negative
251,M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,negative
252,F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,negative
253,M,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,negative
254,M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,positive
255,F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,negative
256,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,negative
257,I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,negative
258,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,negative
259,F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,negative
260,I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,negative
261,I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,negative
262,M,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,negative
263,I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,negative
264,M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,negative
265,I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,negative
266,M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,negative
267,M,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,negative
268,I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,negative
269,M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,negative
270,I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,negative
271,M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,negative
272,M,0.59,0.45,0.185,1.283,0.473,0.276,0.425,negative
273,M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,negative
274,F,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,negative
275,M,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,negative
276,M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,negative
277,F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,negative
278,F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,negative
279,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,negative
280,F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,negative
281,I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,negative
282,M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,negative
283,F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,negative
284,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,negative
285,M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,negative
286,M,0.58,0.455,0.17,0.93,0.408,0.259,0.22,negative
287,M,0.635,0.515,0.17,1.275,0.509,0.286,0.34,negative
288,M,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,negative
289,M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,negative
290,F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,negative
291,M,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,negative
292,F,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,negative
293,F,0.59,0.465,0.15,0.997,0.392,0.246,0.34,negative
294,F,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,negative
295,F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,negative
296,M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,negative
297,F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,negative
298,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,negative
299,F,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,negative
300,F,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,negative
301,F,0.68,0.58,0.2,1.787,0.585,0.453,0.6,positive
302,F,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,negative
303,M,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,negative
304,F,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,negative
305,M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,negative
306,M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,negative
307,F,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,negative
308,M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,negative
309,M,0.535,0.42,0.145,0.791,0.33,0.189,0.25,negative
310,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,negative
311,M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,negative
312,F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,negative
313,M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,negative
314,M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,negative
315,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,negative
316,I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,negative
317,M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,negative
318,F,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,negative
319,I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,negative
320,I,0.39,0.31,0.1,0.302,0.116,0.064,0.115,negative
321,M,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,negative
322,F,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,negative
323,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,negative
324,F,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,negative
325,M,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,negative
326,M,0.59,0.485,0.12,0.911,0.39,0.182,0.29,negative
327,M,0.555,0.45,0.145,0.915,0.4,0.246,0.285,negative
328,M,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,negative
329,M,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,negative
330,M,0.585,0.475,0.12,0.945,0.41,0.2115,0.28,negative
331,F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,negative
332,M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,negative
333,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,negative
334,F,0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,negative
335,F,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,negative
336,F,0.63,0.5,0.155,1.005,0.367,0.199,0.36,negative
337,M,0.545,0.41,0.14,0.625,0.223,0.16,0.235,negative
338,F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,negative
339,I,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,negative
340,F,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,negative
341,M,0.58,0.45,0.175,1.068,0.425,0.203,0.32,negative
342,F,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,negative
343,F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,negative
344,M,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,negative
345,M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,negative
346,M,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,negative
347,I,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,negative
348,I,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,negative
349,M,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,negative
350,M,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,negative
351,I,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,negative
352,I,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,negative
353,F,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,positive
354,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,negative
355,F,0.56,0.455,0.19,0.714,0.283,0.129,0.275,negative
356,M,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,negative
357,M,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,negative
358,M,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,negative
359,M,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,negative
360,F,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,negative
361,F,0.64,0.54,0.175,1.221,0.51,0.259,0.39,negative
362,I,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,negative
363,F,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,negative
364,M,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,negative
365,F,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,negative
366,I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,negative
367,I,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,negative
368,I,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,negative
369,F,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,negative
370,M,0.655,0.53,0.195,1.388,0.567,0.2735,0.41,negative
371,F,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,negative
372,M,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,negative
373,F,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,negative
374,F,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,negative
375,I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,negative
376,F,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,negative
377,F,0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765,negative
378,M,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,negative
379,F,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,negative
