,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,result
2716,2,0.53,0.43,0.135,0.879,0.28,0.2165,0.25,0
2384,1,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,0
2254,2,0.595,0.435,0.16,1.057,0.4255,0.224,0.31,0
3098,0,0.645,0.5,0.225,1.626,0.587,0.4055,0.41,0
329,2,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,0
3579,2,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,0
596,2,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,0
1112,0,0.665,0.53,0.18,1.491,0.6345,0.342,0.435,0
2195,2,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,0
3946,0,0.635,0.485,0.19,1.3765,0.634,0.2885,0.406,0
367,1,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,0
2275,1,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,0
2913,1,0.525,0.405,0.125,0.657,0.2985,0.1505,0.168,0
3104,1,0.41,0.33,0.105,0.335,0.1525,0.074,0.11,0
4061,2,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,0
2504,2,0.505,0.395,0.125,0.635,0.29,0.1555,0.175,0
1197,0,0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,0
227,1,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,0
1943,2,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,0
1127,1,0.37,0.27,0.095,0.232,0.1325,0.041,0.0615,0
3128,2,0.295,0.23,0.085,0.125,0.042,0.0285,0.043,0
2038,2,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,0
168,2,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,0
2199,2,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274,0
2976,2,0.605,0.455,0.16,1.1215,0.533,0.273,0.271,0
314,2,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,0
2749,0,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,0
3000,1,0.53,0.41,0.15,0.612,0.2435,0.1525,0.1895,0
2185,2,0.535,0.43,0.155,0.7845,0.3285,0.169,0.245,0
2561,2,0.425,0.34,0.12,0.388,0.149,0.087,0.125,0
2995,1,0.525,0.4,0.14,0.6055,0.2605,0.108,0.21,0
2032,2,0.515,0.395,0.12,0.646,0.285,0.1365,0.172,0
2193,1,0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,0
1555,2,0.68,0.54,0.19,1.623,0.7165,0.354,0.4715,0
4043,0,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,0
2427,2,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,0
2987,1,0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,0
763,1,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,0
1238,1,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,0
1255,1,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,0
331,0,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,0
1448,1,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,0
2432,0,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,0
1161,2,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,0
3672,1,0.54,0.425,0.135,0.686,0.3475,0.1545,0.213,0
547,0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,0
1874,2,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,0
2158,1,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,0
730,1,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,0
3300,1,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,0
2607,2,0.52,0.425,0.155,0.7735,0.297,0.123,0.255,0
34,1,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,0
1642,2,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,0
116,0,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,0
4166,2,0.58,0.45,0.14,0.824,0.3465,0.1765,0.263,0
869,1,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,0
1489,1,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,0
1702,0,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,0
187,1,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,0
1602,2,0.61,0.49,0.16,1.112,0.465,0.228,0.341,0
512,2,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,0
2389,1,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,0
487,0,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,0
437,1,0.615,0.49,0.155,0.9885,0.4145,0.195,0.345,0
3771,2,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,0
3583,1,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,0
2577,1,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,0
1120,0,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,0
3122,1,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,0
170,2,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,0
734,1,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,0
3663,2,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,0
1558,2,0.695,0.545,0.185,1.5715,0.6645,0.3835,0.4505,0
2904,1,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,0
1771,0,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,0
2500,0,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,0
3113,0,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,0
3231,2,0.59,0.45,0.16,0.998,0.445,0.214,0.301,0
515,0,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,0
2166,1,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,0
3970,2,0.54,0.42,0.19,0.6855,0.293,0.163,0.38,0
995,1,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,0
909,1,0.57,0.44,0.15,0.755,0.3425,0.16,0.224,0
3519,2,0.505,0.41,0.125,0.642,0.289,0.133,0.155,0
918,2,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,0
3297,1,0.54,0.415,0.135,0.709,0.3195,0.174,0.185,0
2669,1,0.49,0.385,0.115,0.683,0.3265,0.1615,0.165,0
740,1,0.375,0.28,0.09,0.215,0.084,0.06,0.055,0
1708,0,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,0
2136,2,0.67,0.5,0.2,1.269,0.576,0.2985,0.351,0
1090,0,0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,0
1897,1,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,0
3252,1,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,0
1486,2,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,0
2470,1,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,0
986,1,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,0
166,2,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,0
276,2,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,0
2982,0,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,0
3236,2,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,0
2186,0,0.545,0.44,0.15,0.9475,0.366,0.239,0.275,0
3429,0,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,0
3537,2,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,0
767,0,0.47,0.365,0.12,0.582,0.29,0.092,0.146,0
2610,2,0.46,0.355,0.11,0.415,0.215,0.082,0.13,0
1192,2,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,0
1065,2,0.59,0.455,0.155,0.8855,0.388,0.188,0.275,0
4026,2,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,0
3364,2,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,0
2177,1,0.505,0.38,0.135,0.5385,0.2645,0.095,0.165,0
108,0,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,0
3602,1,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,0
2855,0,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425,0
833,2,0.65,0.525,0.185,1.622,0.6645,0.3225,0.477,0
1947,2,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,0
1939,1,0.2,0.145,0.05,0.036,0.0125,0.008,0.011,0
931,0,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,0
2260,0,0.625,0.485,0.16,1.254,0.591,0.259,0.3485,0
2742,1,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,0
3603,1,0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,0
3995,0,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,0
2069,0,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,0
3493,0,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,0
1840,2,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,0
1329,1,0.62,0.485,0.18,1.154,0.4935,0.256,0.315,0
4085,2,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,0
3960,2,0.595,0.485,0.15,1.0835,0.5305,0.231,0.276,0
1517,2,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,0
1252,1,0.51,0.395,0.13,0.6025,0.281,0.143,0.162,0
1759,2,0.595,0.475,0.17,1.0965,0.419,0.229,0.35,0
3774,2,0.595,0.465,0.15,0.919,0.4335,0.1765,0.262,0
3795,2,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,0
3936,1,0.54,0.425,0.13,0.8155,0.3675,0.1365,0.246,0
3889,0,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,0
1758,0,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,0
3155,1,0.315,0.235,0.08,0.18,0.08,0.045,0.047,0
1490,2,0.555,0.455,0.135,0.837,0.382,0.171,0.235,0
607,2,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,0
1202,2,0.74,0.57,0.18,1.8725,0.9115,0.427,0.446,0
690,2,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,0
3684,1,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,0
1518,0,0.6,0.465,0.16,1.133,0.466,0.2885,0.298,0
2527,1,0.27,0.195,0.07,0.102,0.045,0.0135,0.034,0
4114,0,0.49,0.385,0.16,0.656,0.2455,0.171,0.205,0
551,2,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,0
350,2,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,0
2455,0,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,0
2448,1,0.425,0.31,0.095,0.3075,0.139,0.0745,0.093,0
139,1,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,0
2720,1,0.35,0.28,0.075,0.196,0.082,0.04,0.064,0
984,1,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,0
3551,1,0.41,0.325,0.1,0.3245,0.132,0.072,0.106,0
132,2,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,0
2202,2,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,0
2853,0,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,0
2760,2,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,0
3512,1,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,0
1274,2,0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,0
2729,2,0.58,0.46,0.15,1.0165,0.491,0.221,0.265,0
4093,2,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,0
3845,1,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,0
1549,2,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,0
3972,2,0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289,0
2420,2,0.615,0.485,0.215,0.9615,0.422,0.176,0.29,0
2221,2,0.65,0.51,0.175,1.446,0.6485,0.2705,0.45,0
1467,1,0.505,0.405,0.13,0.599,0.2245,0.1175,0.225,0
448,0,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,0
4045,1,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,0
1253,0,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,0
939,2,0.655,0.515,0.16,1.31,0.553,0.369,0.345,0
3264,2,0.57,0.445,0.16,1.0145,0.516,0.164,0.3,0
666,1,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,0
3591,1,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,0
1931,0,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,0
3720,1,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,0
3099,2,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,0
1860,2,0.585,0.455,0.125,1.027,0.391,0.212,0.25,0
3986,0,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396,0
2273,1,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,0
1970,2,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,0
4081,1,0.63,0.49,0.17,1.217,0.5515,0.212,0.31,0
2224,2,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,0
403,1,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,0
3220,2,0.51,0.405,0.125,0.6925,0.327,0.155,0.1805,0
623,0,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,0
2973,2,0.515,0.37,0.115,0.6145,0.3415,0.155,0.146,0
29,1,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,0
2090,1,0.5,0.39,0.125,0.583,0.294,0.132,0.1605,0
1648,2,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,0
2077,1,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,0
4084,2,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,0
1944,0,0.52,0.405,0.14,0.6915,0.276,0.137,0.215,0
898,0,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,0
3407,0,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,0
2828,1,0.46,0.34,0.09,0.384,0.1795,0.068,0.11,0
3239,0,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,0
3050,2,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,0
2316,0,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,0
90,0,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,0
935,2,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,0
2127,2,0.645,0.515,0.16,1.1845,0.506,0.311,0.335,0
1539,2,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,0
2790,2,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,0
2104,2,0.57,0.45,0.135,1.02,0.546,0.204,0.25,0
3755,0,0.7,0.575,0.205,1.773,0.605,0.447,0.538,0
3115,0,0.525,0.43,0.125,0.813,0.3315,0.166,0.1775,0
1917,0,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,0
3180,2,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,0
3189,1,0.415,0.31,0.095,0.34,0.181,0.057,0.083,0
3549,1,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,0
2997,2,0.53,0.425,0.13,0.702,0.2975,0.1395,0.22,0
1097,2,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,0
1208,1,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,0
2719,1,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,0
3526,2,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,0
1154,1,0.53,0.43,0.13,0.7045,0.346,0.1415,0.189,0
948,0,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,0
1363,2,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,0
3664,1,0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,0
3626,0,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,0
3885,0,0.57,0.445,0.15,0.995,0.504,0.185,0.2505,0
1369,2,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,0
3313,2,0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,0
559,1,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,0
3174,2,0.495,0.375,0.115,0.6245,0.282,0.143,0.155,0
125,0,0.725,0.56,0.21,2.141,0.65,0.398,1.005,0
2066,2,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,0
4158,0,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,0
340,0,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,0
610,2,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,0
790,2,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,0
174,0,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,0
1169,2,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,0
4070,1,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,0
2551,1,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,0
4149,0,0.69,0.58,0.195,1.658,0.708,0.3615,0.4715,0
3501,2,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,0
2311,1,0.59,0.46,0.125,0.755,0.334,0.15,0.238,0
1488,2,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,0
3807,2,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,0
379,0,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,0
765,0,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,0
519,2,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,0
815,0,0.62,0.51,0.18,1.3315,0.594,0.276,0.388,0
1978,1,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,0
582,2,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,0
1750,0,0.555,0.455,0.18,0.958,0.296,0.195,0.39,0
1635,2,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,0
3211,1,0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,0
670,1,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,0
157,2,0.5,0.4,0.165,0.825,0.254,0.205,0.285,0
1904,2,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,0
3722,1,0.435,0.33,0.105,0.335,0.156,0.0555,0.105,0
3386,2,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,0
845,0,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,0
694,2,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,0
361,0,0.64,0.54,0.175,1.221,0.51,0.259,0.39,0
860,1,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,0
3345,2,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,0
3902,1,0.345,0.255,0.095,0.183,0.075,0.0385,0.06,0
2113,2,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,0
2704,2,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,0
3320,1,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,0
159,2,0.42,0.335,0.115,0.369,0.171,0.071,0.12,0
466,0,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,0
1805,1,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,0
1215,1,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066,0
3011,2,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,0
1889,1,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,0
2498,0,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,0
2989,1,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,0
2411,2,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,0
2461,2,0.645,0.5,0.18,1.461,0.5985,0.2425,0.439,0
707,0,0.625,0.49,0.155,1.2085,0.465,0.162,0.411,0
1948,2,0.565,0.44,0.175,1.122,0.393,0.2,0.375,0
4018,2,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,0
729,1,0.305,0.22,0.07,0.141,0.062,0.031,0.037,0
620,2,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,0
2592,1,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,0
2228,2,0.725,0.57,0.19,2.3305,1.253,0.541,0.52,0
