,Vehicle_Type,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Vehicle_Speed,Month,Day,Hour,result
4185,4,1,1,110,110,77,19,3,2,0
880,4,0,1,100,100,60,4,0,5,0
1751,1,1,2,70,70,48,10,2,20,0
4775,0,1,0,330,330,92,3,2,5,0
145,4,1,1,160,160,80,3,5,3,0
3311,3,1,0,130,130,76,19,1,22,0
3786,4,0,1,120,120,47,22,5,8,0
1262,2,1,2,0,0,49,21,5,6,0
3431,0,1,0,290,290,82,14,4,13,0
1706,4,0,1,110,110,64,19,6,9,0
2500,0,0,0,350,350,65,6,3,5,0
3440,2,1,2,0,0,55,5,0,8,0
264,4,0,1,160,160,44,5,0,3,0
2433,6,1,1,125,125,76,16,4,6,0
1343,3,1,0,150,150,81,17,2,3,0
162,1,0,2,120,120,44,20,1,13,0
4896,2,1,2,0,0,56,24,3,2,0
3651,5,1,0,340,340,88,10,2,14,0
4198,6,0,1,120,120,60,27,1,10,0
3066,3,0,0,130,130,45,17,0,11,0
818,3,0,0,130,130,67,29,1,0,0
2716,3,0,0,180,180,52,15,3,0,0
4131,0,1,0,300,300,77,22,0,7,0
1952,3,0,0,140,140,74,20,2,7,0
3067,0,1,0,290,290,55,2,1,2,0
298,6,0,1,140,140,71,8,6,2,0
135,2,1,2,0,0,77,24,2,2,0
297,5,1,0,350,350,83,7,5,21,0
3214,0,0,0,290,290,50,26,4,22,0
381,5,1,0,350,350,84,8,0,18,0
2679,6,1,1,140,140,94,18,1,18,0
4171,4,1,1,110,110,55,23,3,0,0
2247,0,1,0,330,330,96,29,3,6,0
306,4,0,1,160,160,55,16,0,15,0
967,1,1,2,60,60,95,30,4,13,0
4069,1,1,2,70,70,55,26,2,10,0
2645,4,1,1,160,160,80,23,4,21,0
1531,4,1,1,110,110,65,28,6,23,0
2881,5,1,0,350,350,84,5,6,13,0
1136,2,1,2,0,0,73,23,5,7,0
3539,5,1,0,340,340,79,29,2,0,0
4610,5,0,0,330,330,71,12,4,8,0
3367,3,1,0,130,130,77,4,1,1,0
4876,5,0,0,330,330,65,18,0,5,0
2403,2,1,2,0,0,105,24,0,6,0
4524,1,0,2,90,90,67,14,6,0,0
4165,3,1,0,140,140,78,13,6,3,0
55,3,1,0,180,180,92,2,4,14,0
4641,3,1,0,145,145,92,22,4,7,0
1112,3,0,0,150,150,62,30,2,11,0
1497,3,1,0,150,150,92,20,2,7,0
4622,1,0,2,90,90,48,1,2,1,0
1904,0,0,0,300,300,44,2,2,17,0
3051,4,1,1,100,100,42,2,1,19,0
3561,6,1,1,130,130,88,1,5,16,0
389,6,1,1,140,140,96,16,1,12,0
4565,0,1,0,330,330,82,13,3,9,0
3134,6,0,1,110,110,47,18,5,18,0
581,0,1,0,290,290,54,6,1,19,0
1054,6,0,1,130,130,57,2,0,16,0
355,4,1,1,160,160,82,4,0,15,0
4704,3,0,0,145,145,52,29,1,20,0
4452,3,0,0,140,140,74,7,4,18,0
4039,3,1,0,140,140,68,11,5,2,0
3648,0,0,0,340,340,67,17,4,15,0
1164,2,1,2,0,0,68,21,5,22,0
863,2,1,2,0,0,65,15,5,15,0
2390,5,0,0,330,330,47,18,1,1,0
2238,4,0,1,115,115,61,15,0,10,0
1192,2,1,2,0,0,51,18,5,14,0
2429,0,1,0,330,330,96,7,1,17,0
2925,4,1,1,160,160,78,25,4,8,0
4558,0,0,0,330,330,45,11,5,21,0
807,2,1,2,0,0,76,22,6,0,0
1033,6,1,1,130,130,88,10,1,19,0
858,6,0,1,110,110,90,20,1,3,0
1923,4,1,1,110,110,72,21,0,13,0
4851,3,1,0,145,145,81,18,2,2,0
2113,3,1,0,145,145,81,5,2,4,0
2664,5,0,0,350,350,67,5,4,2,0
4915,0,1,0,330,330,84,11,2,8,0
1047,6,1,1,130,130,97,8,5,14,0
2175,4,1,1,115,115,79,12,0,15,0
1246,0,0,0,340,340,71,5,3,21,0
3680,6,0,1,130,130,58,3,5,5,0
4393,5,1,0,300,300,48,9,6,19,0
1690,5,0,0,300,300,58,31,1,17,0
2078,3,0,0,145,145,67,26,2,13,0
1378,3,0,0,150,150,62,21,2,5,0
187,4,1,1,160,160,85,17,5,14,0
471,2,1,2,0,0,95,8,6,2,0
982,2,1,2,0,0,60,30,2,15,0
2119,4,1,1,115,115,82,11,1,18,0
4568,5,0,0,330,330,47,28,6,7,0
267,1,1,2,120,120,95,8,3,16,0
1887,6,1,1,120,120,54,15,6,9,0
2764,4,0,1,160,160,44,29,1,20,0
720,3,0,0,130,130,57,27,1,11,0
2844,1,0,2,120,120,59,23,4,19,0
1522,5,0,0,300,300,55,19,4,2,0
3913,3,1,0,150,150,85,22,0,2,0
3727,2,1,2,0,0,96,5,3,11,0
3761,1,1,2,100,100,91,5,0,7,0
3248,3,0,0,130,130,22,27,0,15,0
4376,0,0,0,300,300,42,23,4,21,0
4087,4,1,1,110,110,75,14,6,1,0
1222,6,0,1,130,130,67,17,0,13,0
1150,2,1,2,0,0,52,7,5,4,0
3541,4,1,1,120,120,90,2,1,7,0
832,3,0,0,130,130,76,20,5,8,0
3265,2,1,2,0,0,39,14,3,13,0
260,1,0,2,120,120,53,1,3,9,0
1384,4,0,1,120,120,58,27,1,6,0
2176,3,0,0,145,145,61,17,1,17,0
4644,2,1,2,0,0,68,11,5,5,0
65,2,1,2,0,0,80,12,0,13,0
3436,4,0,1,100,100,87,11,1,18,0
877,2,1,2,0,0,55,17,5,22,0
2534,3,0,0,180,180,51,29,3,2,0
4889,2,1,2,0,0,87,22,0,13,0
9,2,1,2,0,0,72,15,0,7,0
1762,4,0,1,110,110,56,25,3,0,0
725,6,1,1,110,110,53,1,6,19,0
3892,3,0,0,150,150,54,31,2,13,0
3532,5,0,0,340,340,63,30,0,12,0
4382,3,0,0,140,140,53,1,4,17,0
2620,1,0,2,120,120,61,1,0,20,0
4066,4,0,1,110,110,70,6,1,12,0
303,2,1,2,0,0,93,13,4,1,0
430,5,0,0,350,350,69,26,0,18,0
1366,1,0,2,100,100,59,9,4,3,0
4283,4,1,1,110,110,45,21,6,2,0
4522,3,0,0,145,145,58,13,3,17,0
3597,4,1,1,120,120,81,19,3,20,0
1573,4,1,1,110,110,75,18,6,1,0
2720,5,0,0,350,350,44,19,5,14,0
4749,2,1,2,0,0,81,29,4,19,0
811,3,1,0,130,130,76,12,2,9,0
1556,2,1,2,0,0,74,26,0,10,0
4985,0,1,0,330,330,79,17,1,11,0
3956,0,0,0,340,340,52,6,5,18,0
4634,3,0,0,145,145,44,24,5,18,0
2631,4,1,1,160,160,81,7,5,21,0
4122,4,0,1,110,110,62,22,1,12,0
2455,4,1,1,115,115,75,13,1,8,0
4311,4,1,1,110,110,58,9,4,2,0
3995,6,1,1,130,130,78,1,2,19,0
4496,1,0,2,70,70,74,28,4,0,0
3631,6,1,1,130,130,76,10,5,17,0
4076,1,0,2,70,70,72,11,2,22,0
1719,6,1,1,120,120,55,3,0,15,0
535,5,1,0,290,290,84,11,0,1,0
2093,0,1,0,330,330,94,14,4,12,0
1811,4,1,1,110,110,58,18,1,18,0
3762,2,1,2,0,0,49,20,1,22,0
1815,2,1,2,0,0,50,25,1,4,0
2417,2,1,2,0,0,80,25,4,14,0
3625,4,1,1,120,120,96,30,0,21,0
1929,6,1,1,120,120,75,28,0,10,0
88,6,0,1,140,140,66,4,2,7,0
153,3,1,0,180,180,97,11,6,17,0
406,0,0,0,350,350,57,2,4,21,0
2489,6,1,1,125,125,77,3,4,12,0
4477,5,1,0,300,300,95,11,6,19,0
3017,3,1,0,130,130,66,10,6,0,0
716,2,1,2,0,0,55,23,4,10,0
3371,5,1,0,290,290,65,8,3,13,0
3660,4,0,1,120,120,49,11,6,8,0
3699,2,1,2,0,0,81,26,2,12,0
1901,6,1,1,120,120,53,29,6,22,0
3706,2,1,2,0,0,71,13,4,0,0
4812,2,1,2,0,0,60,25,0,23,0
761,4,1,1,100,100,35,14,4,16,0
2172,2,1,2,0,0,65,24,0,9,0
4905,6,1,1,125,125,88,23,1,21,0
1863,1,1,2,70,70,53,15,3,22,0
4177,6,1,1,120,120,63,4,1,21,0
2033,5,1,0,330,330,78,10,0,8,0
2847,6,1,1,140,140,93,5,4,17,0
2448,4,0,1,115,115,69,27,2,16,0
1652,0,0,0,300,300,65,20,2,1,0
4473,3,1,0,140,140,89,3,0,5,0
1232,0,0,0,340,340,50,25,0,23,0
2345,0,1,0,330,330,92,6,1,18,0
4365,5,1,0,300,300,51,18,5,19,0
1888,4,0,1,110,110,43,16,0,15,0
2112,4,0,1,115,115,46,4,1,23,0
3993,2,1,2,0,0,89,28,3,12,0
3237,2,1,2,0,0,60,23,4,15,0
4667,6,1,1,125,125,82,6,3,0,0
3904,6,0,1,130,130,63,22,1,6,0
1101,2,1,2,0,0,74,19,5,6,0
1199,2,1,2,0,0,81,25,5,22,0
2863,3,1,0,180,180,79,8,0,23,0
857,5,1,0,290,290,78,14,2,1,0
1327,6,1,1,130,130,83,1,0,8,0
72,2,1,2,0,0,53,19,0,0,0
2219,0,1,0,330,330,86,20,1,15,0
1084,3,0,0,150,150,61,2,2,18,0
1813,0,1,0,300,300,47,22,5,23,0
269,5,1,0,350,350,80,10,5,3,0
3501,0,1,0,340,340,82,25,6,13,0
1729,0,1,0,300,300,54,14,4,15,0
1759,2,1,2,0,0,58,20,5,17,0
4725,3,1,0,145,145,76,20,6,8,0
3845,1,1,2,100,100,93,3,0,7,0
1404,6,0,1,130,130,63,19,0,17,0
2032,2,1,2,0,0,44,9,6,2,0
1316,0,0,0,340,340,62,13,3,6,0
676,6,0,1,110,110,54,11,6,2,0
3122,3,0,0,130,130,50,26,4,2,0
709,2,1,2,0,0,44,16,4,14,0
2765,3,1,0,180,180,78,13,2,12,0
1024,2,1,2,0,0,52,16,3,22,0
3277,0,1,0,290,290,87,3,2,5,0
4112,2,1,2,0,0,73,15,5,2,0
3493,3,1,0,130,130,93,11,2,8,0
3771,6,1,1,130,130,80,12,3,17,0
1628,6,0,1,120,120,82,21,0,10,0
4748,1,0,2,90,90,46,14,3,4,0
4089,0,1,0,300,300,63,17,5,7,0
1121,1,1,2,100,100,95,8,4,6,0
329,0,1,0,350,350,92,9,2,8,0
3559,2,1,2,0,0,77,29,6,20,0
2260,3,0,0,145,145,66,1,6,12,0
3632,4,0,1,120,120,65,25,6,9,0
2288,3,0,0,145,145,47,1,3,5,0
4326,3,0,0,140,140,47,23,1,17,0
1274,0,0,0,340,340,45,2,3,15,0
4019,0,1,0,300,300,70,2,6,6,0
2769,5,1,0,350,350,80,20,0,1,0
3164,3,0,0,130,130,52,5,4,0,0
1277,5,1,0,340,340,86,5,6,6,0
4437,4,1,1,110,110,77,29,5,2,0
139,3,1,0,180,180,75,28,6,21,0
788,6,0,1,110,110,65,4,0,5,0
2794,0,0,0,350,350,48,21,6,3,0
3829,3,1,0,150,150,96,15,5,0,0
4909,1,1,2,90,90,81,31,0,12,0
555,2,1,2,0,0,46,11,3,0,0
4730,6,0,1,125,125,71,12,6,13,0
2605,0,1,0,350,350,90,20,4,5,0
190,1,0,2,120,120,66,20,1,6,0
3830,0,0,0,340,340,47,30,6,16,0
1174,4,0,1,120,120,62,31,1,23,0
864,5,0,0,290,290,45,20,5,17,0
3942,0,0,0,340,340,73,8,3,18,0
3013,2,1,2,0,0,90,3,1,10,0
241,5,1,0,350,350,75,10,5,14,0
4705,0,1,0,330,330,79,17,6,12,0
2001,3,1,0,145,145,79,9,3,5,0
3691,1,1,2,100,100,92,9,3,7,0
1122,2,1,2,0,0,56,9,5,11,0
810,4,0,1,100,100,98,7,1,6,0
29,1,1,2,120,120,82,4,6,8,0
3488,1,0,2,60,60,50,18,2,3,0
3291,0,1,0,290,290,35,31,4,4,0
1241,2,1,2,0,0,81,30,5,23,0
2053,2,1,2,0,0,75,1,0,18,0
4379,5,1,0,300,300,52,12,3,19,0
753,6,1,1,110,110,27,23,4,22,0
2439,5,1,0,330,330,83,26,1,18,0
996,2,1,2,0,0,62,28,6,10,0
2418,5,0,0,330,330,68,30,5,16,0
1975,1,1,2,70,70,78,13,4,5,0
4846,1,0,2,90,90,57,21,6,21,0
1465,2,1,2,0,0,91,19,5,13,0
4052,4,0,1,110,110,75,11,6,12,0
1984,5,0,0,300,300,68,22,6,13,0
3005,1,1,2,60,60,81,24,5,7,0
4921,3,1,0,145,145,77,23,0,5,0
3414,6,0,1,110,110,65,11,1,14,0
1340,5,0,0,340,340,73,14,6,15,0
675,5,1,0,290,290,37,10,5,20,0
4828,6,0,1,125,125,58,21,2,7,0
779,2,1,2,0,0,89,7,5,9,0
3871,3,1,0,150,150,90,9,4,0,0
4385,2,1,2,0,0,44,24,1,16,0
420,0,0,0,350,350,52,16,4,16,0
404,4,0,1,160,160,64,31,2,11,0
3924,5,0,0,340,340,49,19,3,3,0
408,2,1,2,0,0,55,4,6,8,0
3570,3,0,0,150,150,45,23,1,11,0
4469,2,1,2,0,0,92,25,0,16,0
4199,4,1,1,110,110,72,16,6,2,0
2624,4,0,1,160,160,69,11,6,10,0
3516,1,0,2,100,100,55,4,5,4,0
4810,0,0,0,330,330,48,22,1,16,0
1145,6,1,1,130,130,99,2,0,4,0
961,2,1,2,0,0,94,23,0,10,0
1221,5,1,0,340,340,78,16,6,8,0
4664,1,0,2,90,90,51,19,3,2,0
4625,6,1,1,125,125,87,23,6,23,0
1264,6,0,1,130,130,59,23,0,16,0
1069,4,1,1,120,120,96,17,1,19,0
1724,2,1,2,0,0,53,9,6,3,0
530,4,0,1,100,100,79,6,2,2,0
3806,6,0,1,130,130,58,25,6,5,0
1416,2,1,2,0,0,54,31,5,19,0
117,4,1,1,160,160,95,6,5,11,0
2109,2,1,2,0,0,83,1,5,5,0
1059,2,1,2,0,0,77,7,5,18,0
1083,4,1,1,120,120,82,1,1,13,0
2061,5,1,0,330,330,86,9,1,19,0
4106,5,0,0,300,300,78,2,6,6,0
3778,6,0,1,130,130,50,8,2,5,0
957,4,1,1,100,100,76,29,3,13,0
4091,2,1,2,0,0,74,22,5,14,0
4461,1,1,2,70,70,79,7,2,12,0
1276,2,1,2,0,0,62,4,5,2,0
4936,0,0,0,330,330,74,3,1,21,0
1500,2,1,2,0,0,60,23,5,19,0
4202,1,0,2,70,70,70,23,1,0,0
239,1,1,2,120,120,91,8,3,5,0
4793,6,1,1,125,125,82,3,4,18,0
4679,2,1,2,0,0,78,29,3,18,0
290,5,0,0,350,350,52,31,5,12,0
3719,1,1,2,100,100,92,18,6,7,0
1187,6,1,1,130,130,89,13,0,14,0
1625,1,1,2,70,70,68,18,4,3,0
1227,2,1,2,0,0,96,22,5,13,0
898,2,1,2,0,0,68,16,4,21,0
2449,3,1,0,145,145,94,2,3,18,0
3566,2,1,2,0,0,53,24,5,21,0
3391,2,1,2,0,0,90,4,3,5,0
4328,1,0,2,70,70,44,27,1,0,0
2382,2,1,2,0,0,44,24,5,7,0
954,2,1,2,0,0,63,9,3,21,0
2859,2,1,2,0,0,84,31,1,10,0
3191,4,1,1,100,100,58,4,2,7,0
4188,1,0,2,70,70,72,7,3,0,0
968,2,1,2,0,0,44,5,4,8,0
4102,3,0,0,140,140,60,25,0,16,0
391,3,1,0,180,180,85,18,3,22,0
3036,6,0,1,110,110,85,24,1,4,0
4022,5,0,0,300,300,55,26,4,4,0
1491,0,1,0,340,340,82,14,3,5,0
159,4,1,1,160,160,79,17,5,22,0
1597,1,1,2,70,70,72,14,5,9,0
4575,5,1,0,330,330,89,27,6,19,0
4939,5,1,0,330,330,83,26,5,20,0
977,6,1,1,110,110,83,1,5,14,0
149,2,1,2,0,0,73,7,2,23,0
1869,0,1,0,300,300,43,22,3,12,0
2191,0,1,0,330,330,82,8,5,0,0
3450,4,0,1,100,100,90,27,4,18,0
3375,0,1,0,290,290,66,10,1,1,0
4638,5,0,0,330,330,49,29,6,8,0
2589,4,1,1,160,160,90,10,2,13,0
2038,1,0,2,90,90,69,15,5,15,0
3163,4,1,1,100,100,56,25,1,9,0
1828,1,0,2,70,70,44,7,6,13,0
1701,0,1,0,300,300,68,13,0,21,0
2975,3,1,0,180,180,87,16,6,11,0
1509,6,1,1,120,120,80,5,4,20,0
1589,0,1,0,300,300,63,5,3,15,0
978,4,0,1,100,100,68,6,5,8,0
1131,6,1,1,130,130,76,18,0,7,0
758,2,1,2,0,0,32,30,2,9,0
2366,0,0,0,330,330,62,21,5,19,0
2462,4,0,1,115,115,55,18,6,0,0
2944,5,0,0,350,350,50,4,2,13,0
2391,6,1,1,125,125,73,23,1,3,0
2277,2,1,2,0,0,79,7,4,2,0
2989,3,1,0,180,180,88,30,0,11,0
646,2,1,2,0,0,40,12,4,8,0
4369,0,1,0,300,300,43,25,3,9,0
2263,2,1,2,0,0,80,16,0,18,0
694,1,0,2,60,60,56,1,3,17,0
2529,1,1,2,120,120,82,6,5,21,0
2594,5,0,0,350,350,71,1,0,18,0
4020,1,0,2,70,70,62,21,4,21,0
572,4,0,1,100,100,49,28,6,11,0
4300,1,0,2,70,70,56,3,4,0,0
1311,2,1,2,0,0,85,8,5,5,0
1178,2,1,2,0,0,70,4,5,18,0
4416,4,0,1,110,110,53,5,4,14,0
2587,5,1,0,350,350,79,6,3,6,0
2140,4,0,1,115,115,69,22,3,23,0
2661,0,1,0,350,350,89,22,3,4,0
690,6,0,1,110,110,44,25,6,16,0
668,5,0,0,290,290,60,3,5,1,0
4721,2,1,2,0,0,82,13,1,18,0
2577,0,1,0,350,350,94,17,5,19,0
4553,2,1,2,0,0,75,19,5,16,0
2074,2,1,2,0,0,61,15,0,17,0
2021,4,1,1,115,115,76,29,2,5,0
4831,0,1,0,330,330,94,14,0,5,0
1143,2,1,2,0,0,86,30,5,16,0
2822,0,0,0,350,350,44,9,4,15,0
4701,5,1,0,330,330,96,9,0,21,0
4352,6,0,1,120,120,50,11,3,11,0
2559,5,1,0,350,350,89,24,3,4,0
1286,4,0,1,120,120,47,14,1,3,0
1102,5,0,0,340,340,58,20,6,10,0
318,5,0,0,350,350,52,28,5,5,0
479,5,1,0,350,350,91,16,0,15,0
2166,5,0,0,330,330,56,25,0,16,0
3492,4,0,1,100,100,66,26,1,17,0
589,1,1,2,60,60,42,14,2,21,0
1006,4,0,1,120,120,65,29,0,10,0
1534,1,0,2,70,70,55,1,3,6,0
2220,1,0,2,90,90,55,25,2,18,0
574,0,0,0,290,290,46,30,1,0,0
972,3,0,0,130,130,49,29,1,14,0
1670,6,0,1,120,120,77,9,0,19,0
4242,3,0,0,140,140,61,5,2,17,0
1090,4,0,1,120,120,51,8,1,1,0
1732,5,0,0,300,300,52,17,0,22,0
2168,4,0,1,115,115,70,4,5,20,0
4394,6,0,1,120,120,60,25,1,10,0
1627,5,1,0,300,300,75,20,6,7,0
4663,0,1,0,330,330,86,30,5,10,0
166,4,0,1,160,160,55,24,5,8,0
1649,6,1,1,120,120,68,16,5,18,0
1296,1,0,2,100,100,60,24,4,5,0
2309,3,1,0,145,145,90,15,1,6,0
4611,6,1,1,125,125,97,27,5,23,0
431,6,1,1,140,140,92,27,1,23,0
1489,4,1,1,120,120,97,12,1,20,0
3495,1,1,2,60,60,80,14,1,15,0
2806,4,0,1,160,160,55,13,1,9,0
2540,4,0,1,160,160,49,9,0,22,0
3633,3,1,0,150,150,90,14,4,0,0
1702,1,0,2,70,70,70,15,2,0,0
1960,0,0,0,300,300,56,28,3,10,0
3741,2,1,2,0,0,81,30,4,10,0
2272,6,0,1,125,125,47,12,1,15,0
3833,5,1,0,340,340,87,8,3,14,0
3148,6,0,1,110,110,38,13,4,18,0
4537,0,1,0,330,330,74,23,3,9,0
2744,3,0,0,180,180,66,28,3,0,0
2705,2,1,2,0,0,82,16,6,23,0
2205,0,1,0,330,330,79,26,2,8,0
2198,0,0,0,330,330,63,21,5,16,0
399,0,1,0,350,350,83,26,4,12,0
1974,0,0,0,300,300,44,12,3,22,0
959,0,1,0,290,290,87,8,3,12,0
868,0,0,0,290,290,88,22,3,2,0
3779,4,1,1,120,120,75,27,0,20,0
71,1,1,2,120,120,91,18,6,19,0
3603,6,1,1,130,130,83,31,1,17,0
614,4,0,1,100,100,53,11,6,7,0
3876,6,0,1,130,130,45,29,0,5,0
4520,6,0,1,125,125,48,9,4,10,0
1283,2,1,2,0,0,84,11,5,11,0
4045,4,1,1,110,110,80,21,2,23,0
3974,6,0,1,130,130,53,5,6,7,0
1149,1,1,2,100,100,94,6,4,22,0
2167,6,1,1,125,125,82,30,0,12,0
606,6,0,1,110,110,48,3,5,6,0
4869,5,1,0,330,330,73,18,6,16,0
680,1,0,2,60,60,60,15,3,3,0
4099,5,1,0,300,300,68,3,3,18,0
2386,3,0,0,145,145,55,25,2,16,0
2638,4,0,1,160,160,50,6,1,9,0
2161,4,1,1,115,115,80,2,4,22,0
3520,4,0,1,120,120,47,11,3,18,0
3416,3,0,0,130,130,67,3,2,21,0
4619,4,1,1,115,115,82,13,2,3,0
2393,3,1,0,145,145,91,2,1,8,0
4357,2,1,2,0,0,42,3,1,16,0
1127,0,1,0,340,340,82,14,3,12,0
914,6,0,1,110,110,65,18,3,9,0
3290,3,0,0,130,130,87,12,6,13,0
400,1,0,2,120,120,71,27,5,15,0
23,2,1,2,0,0,77,29,0,3,0
1473,5,1,0,340,340,90,27,6,0,0
1563,2,1,2,0,0,78,6,1,2,0
3653,4,1,1,120,120,91,13,1,21,0
2851,1,1,2,120,120,86,17,5,6,0
3393,6,1,1,110,110,78,10,5,12,0
136,5,0,0,350,350,64,25,3,7,0
1461,4,1,1,120,120,81,15,1,20,0
444,5,0,0,350,350,50,12,0,13,0
628,4,0,1,100,100,57,25,6,22,0
3076,2,1,2,0,0,53,24,5,21,0
3809,0,1,0,340,340,98,6,5,3,0
2792,4,0,1,160,160,66,17,0,20,0
220,5,0,0,350,350,44,20,5,8,0
2343,4,1,1,115,115,74,16,4,13,0
4795,3,1,0,145,145,84,6,3,1,0
205,2,1,2,0,0,82,5,4,5,0
664,3,0,0,130,130,52,30,1,0,0
3372,6,0,1,110,110,45,23,4,4,0
2116,2,1,2,0,0,57,8,5,22,0
3462,5,0,0,290,290,71,6,1,10,0
2555,3,1,0,180,180,92,16,4,14,0
2281,3,1,0,145,145,78,9,2,11,0
1180,6,0,1,130,130,58,6,0,3,0
882,0,0,0,290,290,77,14,1,9,0
1860,4,0,1,110,110,52,11,6,15,0
4204,5,0,0,300,300,57,26,0,7,0
3251,2,1,2,0,0,25,19,4,14,0
3275,4,1,1,100,100,78,30,4,22,0
2154,4,0,1,115,115,50,26,4,3,0
1278,6,0,1,130,130,50,6,0,11,0
2025,2,1,2,0,0,94,2,6,7,0
2976,0,0,0,350,350,47,1,0,2,0
3212,4,0,1,100,100,43,30,6,15,0
3583,4,1,1,120,120,82,4,1,20,0
3825,2,1,2,0,0,95,7,6,11,0
1928,5,0,0,300,300,50,27,6,4,0
2970,1,0,2,120,120,67,21,3,6,0
4929,0,1,0,330,330,96,7,4,9,0
3815,3,1,0,150,150,80,19,3,0,0
3639,4,1,1,120,120,81,17,5,21,0
2481,5,1,0,330,330,96,13,5,18,0
4443,6,1,1,120,120,82,8,6,23,0
2493,1,1,2,90,90,97,23,6,21,0
3445,0,1,0,290,290,60,30,0,13,0
1023,1,1,2,100,100,91,9,0,19,0
3466,0,0,0,290,290,66,15,6,0,0
107,2,1,2,0,0,76,23,0,4,0
4709,6,1,1,125,125,77,24,4,1,0
1447,4,1,1,120,120,93,1,1,8,0
1163,1,1,2,100,100,88,20,4,17,0
3891,4,1,1,120,120,89,12,4,21,0
1374,2,1,2,0,0,67,17,5,12,0
4407,5,1,0,300,300,43,3,4,19,0
2827,4,1,1,160,160,74,4,6,20,0
4988,5,0,0,330,330,48,3,0,10,0
1000,3,0,0,150,150,56,19,0,16,0
1284,5,0,0,340,340,69,12,6,15,0
2797,5,1,0,350,350,83,9,6,1,0
754,4,0,1,100,100,28,29,5,0,0
4284,3,0,0,140,140,55,9,4,17,0
