,buying,maint,doors,persons,lug_boot,safety,result
1281,1,0,5,4,1,0,0
910,1,3,3,6,0,1,0
336,3,0,2,4,1,0,0
841,2,0,5,2,1,1,0
461,2,3,3,2,0,2,0
891,1,3,3,2,0,0,0
582,2,2,3,4,2,0,0
1308,0,3,2,4,1,0,0
489,2,3,4,2,1,0,0
1428,0,2,2,6,2,0,0
1407,0,2,2,2,1,0,0
791,2,0,3,2,2,2,0
792,2,0,3,4,0,0,0
294,3,1,4,6,2,0,0
513,2,3,5,2,0,0,0
155,3,2,3,6,0,2,0
928,1,3,4,4,0,1,0
882,1,3,2,6,0,0,0
1358,0,3,4,2,2,2,0
486,2,3,4,2,0,0,0
1493,0,2,5,2,2,2,0
466,2,3,3,2,2,1,0
137,3,2,3,2,0,2,0
1083,1,1,2,2,1,0,0
55,3,3,4,2,0,1,0
190,3,2,5,2,0,1,0
13,3,3,2,4,1,1,0
1194,1,0,2,2,2,0,0
1011,1,2,3,4,1,0,0
446,2,3,2,4,1,2,0
468,2,3,3,4,0,0,0
762,2,0,2,2,2,0,0
572,2,2,3,2,1,2,0
924,1,3,4,2,2,0,0
160,3,2,3,6,2,1,0
289,3,1,4,6,0,1,0
1462,0,2,4,2,1,1,0
61,3,3,4,2,2,1,0
1004,1,2,3,2,1,2,0
847,2,0,5,4,0,1,0
25,3,3,2,6,2,1,0
567,2,2,3,2,0,0,0
1638,0,0,2,6,0,0,0
1000,1,2,3,2,0,1,0
1112,1,1,3,2,1,2,0
60,3,3,4,2,2,0,0
1424,0,2,2,6,0,2,0
869,1,3,2,2,1,2,0
626,2,2,5,2,1,2,0
1116,1,1,3,4,0,0,0
1032,1,2,4,2,2,0,0
879,1,3,2,4,2,0,0
720,2,1,4,6,0,0,0
1581,0,1,4,4,2,0,0
274,3,1,4,2,1,1,0
5,3,3,2,2,1,2,0
506,2,3,4,6,0,2,0
687,2,1,3,4,1,0,0
1135,1,1,4,2,0,1,0
494,2,3,4,2,2,2,0
1218,1,0,3,2,1,0,0
298,3,1,5,2,0,1,0
1220,1,0,3,2,1,2,0
1356,0,3,4,2,2,0,0
553,2,2,2,4,1,1,0
601,2,2,4,2,2,1,0
152,3,2,3,4,2,2,0
707,2,1,4,2,1,2,0
996,1,2,2,6,2,0,0
243,3,1,3,2,0,0,0
903,1,3,3,4,1,0,0
1412,0,2,2,2,2,2,0
134,3,2,2,6,2,2,0
1309,0,3,2,4,1,1,0
156,3,2,3,6,1,0,0
1460,0,2,4,2,0,2,0
699,2,1,3,6,2,0,0
1567,0,1,4,2,0,1,0
80,3,3,4,6,2,2,0
1725,0,0,5,6,2,0,0
705,2,1,4,2,1,0,0
385,3,0,4,2,2,1,0
1368,0,3,4,6,0,0,0
1099,1,1,2,6,0,1,0
845,2,0,5,2,2,2,0
1486,0,2,5,2,0,1,0
939,1,3,4,6,1,0,0
1707,0,0,5,2,2,0,0
677,2,1,3,2,0,2,0
424,3,0,5,6,0,1,0
113,3,2,2,2,1,2,0
212,3,2,5,6,1,2,0
872,1,3,2,2,2,2,0
1233,1,0,3,6,0,0,0
102,3,3,5,6,1,0,0
477,2,3,3,6,0,0,0
1060,1,2,5,2,2,1,0
1596,0,1,5,2,1,0,0
234,3,1,2,6,0,0,0
1479,0,2,4,6,1,0,0
199,3,2,5,4,0,1,0
1443,0,2,3,4,1,0,0
1014,1,2,3,4,2,0,0
948,1,3,5,2,1,0,0
1432,0,2,3,2,0,1,0
877,1,3,2,4,1,1,0
1058,1,2,5,2,1,2,0
1166,1,1,5,2,1,2,0
1038,1,2,4,4,1,0,0
136,3,2,3,2,0,1,0
370,3,0,3,6,0,1,0
837,2,0,5,2,0,0,0
549,2,2,2,4,0,0,0
1044,1,2,4,6,0,0,0
450,2,3,2,6,0,0,0
1545,0,1,3,2,2,0,0
1304,0,3,2,2,2,2,0
1030,1,2,4,2,1,1,0
1710,0,0,5,4,0,0,0
109,3,2,2,2,0,1,0
1063,1,2,5,4,0,1,0
1331,0,3,3,2,2,2,0
901,1,3,3,4,0,1,0
172,3,2,4,4,0,1,0
105,3,3,5,6,2,0,0
631,2,2,5,4,0,1,0
100,3,3,5,6,0,1,0
432,2,3,2,2,0,0,0
165,3,2,4,2,1,0,0
205,3,2,5,4,2,1,0
515,2,3,5,2,0,2,0
897,1,3,3,2,2,0,0
1435,0,2,3,2,1,1,0
1216,1,0,3,2,0,1,0
330,3,0,2,2,2,0,0
1192,1,0,2,2,1,1,0
1626,0,0,2,2,2,0,0
648,2,1,2,2,0,0,0
1437,0,2,3,2,2,0,0
86,3,3,5,2,1,2,0
103,3,3,5,6,1,1,0
1108,1,1,3,2,0,1,0
144,3,2,3,4,0,0,0
56,3,3,4,2,0,2,0
20,3,3,2,6,0,2,0
1223,1,0,3,2,2,2,0
991,1,2,2,6,0,1,0
1708,0,0,5,2,2,1,0
825,2,0,4,4,2,0,0
375,3,0,3,6,2,0,0
1250,1,0,4,2,2,2,0
1274,1,0,5,2,1,2,0
202,3,2,5,4,1,1,0
19,3,3,2,6,0,1,0
667,2,1,2,6,0,1,0
642,2,2,5,6,1,0,0
47,3,3,3,6,0,2,0
744,2,1,5,4,2,0,0
1072,1,2,5,6,0,1,0
1605,0,1,5,4,1,0,0
1260,1,0,4,6,0,0,0
482,2,3,3,6,1,2,0
15,3,3,2,4,2,0,0
1413,0,2,2,4,0,0,0
101,3,3,5,6,0,2,0
1651,0,0,3,2,1,1,0
435,2,3,2,2,1,0,0
164,3,2,4,2,0,2,0
1299,0,3,2,2,1,0,0
189,3,2,5,2,0,0,0
448,2,3,2,4,2,1,0
573,2,2,3,2,2,0,0
77,3,3,4,6,1,2,0
471,2,3,3,4,1,0,0
1293,1,0,5,6,2,0,0
544,2,2,2,2,1,1,0
1578,0,1,4,4,1,0,0
1191,1,0,2,2,1,0,0
976,1,2,2,2,1,1,0
1595,0,1,5,2,0,2,0
32,3,3,3,2,1,2,0
324,3,0,2,2,0,0,0
1597,0,1,5,2,1,1,0
451,2,3,2,6,0,1,0
71,3,3,4,4,2,2,0
208,3,2,5,6,0,1,0
1272,1,0,5,2,1,0,0
40,3,3,3,4,1,1,0
464,2,3,3,2,1,2,0
561,2,2,2,6,1,0,0
1622,0,0,2,2,0,2,0
485,2,3,3,6,2,2,0
984,1,2,2,4,1,0,0
54,3,3,4,2,0,0,0
469,2,3,3,4,0,1,0
1722,0,0,5,6,1,0,0
14,3,3,2,4,1,2,0
1197,1,0,2,4,0,0,0
732,2,1,5,2,1,0,0
1540,0,1,3,2,0,1,0
842,2,0,5,2,1,2,0
765,2,0,2,4,0,0,0
251,3,1,3,2,2,2,0
1639,0,0,2,6,0,1,0
867,1,3,2,2,1,0,0
706,2,1,4,2,1,1,0
436,2,3,2,2,1,1,0
558,2,2,2,6,0,0,0
1411,0,2,2,2,2,1,0
741,2,1,5,4,1,0,0
785,2,0,3,2,0,2,0
213,3,2,5,6,2,0,0
366,3,0,3,4,2,0,0
1242,1,0,4,2,0,0,0
942,1,3,4,6,2,0,0
1378,0,3,5,2,0,1,0
1317,0,3,2,6,1,0,0
1647,0,0,3,2,0,0,0
328,3,0,2,2,1,1,0
923,1,3,4,2,1,2,0
315,3,1,5,6,0,0,0
622,2,2,5,2,0,1,0
690,2,1,3,4,2,0,0
217,3,1,2,2,0,1,0
654,2,1,2,2,2,0,0
1551,0,1,3,4,1,0,0
737,2,1,5,2,2,2,0
874,1,3,2,4,0,1,0
1207,1,0,2,6,0,1,0
865,1,3,2,2,0,1,0
811,2,0,4,2,0,1,0
203,3,2,5,4,1,2,0
1164,1,1,5,2,1,0,0
68,3,3,4,4,1,2,0
1269,1,0,5,2,0,0,0
1681,0,0,4,2,2,1,0
1487,0,2,5,2,0,2,0
1169,1,1,5,2,2,2,0
1632,0,0,2,4,1,0,0
343,3,0,2,6,0,1,0
680,2,1,3,2,1,2,0
602,2,2,4,2,2,2,0
154,3,2,3,6,0,1,0
1387,0,3,5,4,0,1,0
1572,0,1,4,2,2,0,0
1544,0,1,3,2,1,2,0
465,2,3,3,2,2,0,0
1521,0,1,2,4,0,0,0
238,3,1,2,6,1,1,0
1709,0,0,5,2,2,2,0
0,3,3,2,2,0,0,0
663,2,1,2,4,2,0,0
1527,0,1,2,4,2,0,0
933,1,3,4,4,2,0,0
417,3,0,5,4,1,0,0
1701,0,0,5,2,0,0,0
1702,0,0,5,2,0,1,0
1245,1,0,4,2,1,0,0
1463,0,2,4,2,1,2,0
167,3,2,4,2,1,2,0
1467,0,2,4,4,0,0,0
1302,0,3,2,2,2,0,0
812,2,0,4,2,0,2,0
876,1,3,2,4,1,0,0
536,2,3,5,6,1,2,0
78,3,3,4,6,2,0,0
1682,0,0,4,2,2,2,0
75,3,3,4,6,1,0,0
1675,0,0,4,2,0,1,0
1344,0,3,3,6,1,0,0
1236,1,0,3,6,1,0,0
636,2,2,5,4,2,0,0
1635,0,0,2,4,2,0,0
339,3,0,2,4,2,0,0
380,3,0,4,2,0,2,0
97,3,3,5,4,2,1,0
675,2,1,3,2,0,0,0
1341,0,3,3,6,0,0,0
1548,0,1,3,4,0,0,0
1362,0,3,4,4,1,0,0
1371,0,3,4,6,1,0,0
1422,0,2,2,6,0,0,0
116,3,2,2,2,2,2,0
1405,0,2,2,2,0,1,0
99,3,3,5,6,0,0,0
38,3,3,3,4,0,2,0
1277,1,0,5,2,2,2,0
478,2,3,3,6,0,1,0
985,1,2,2,4,1,1,0
180,3,2,4,6,0,0,0
1297,0,3,2,2,0,1,0
893,1,3,3,2,0,2,0
596,2,2,4,2,0,2,0
936,1,3,4,6,0,0,0
658,2,1,2,4,0,1,0
829,2,0,4,6,0,1,0
625,2,2,5,2,1,1,0
386,3,0,4,2,2,2,0
702,2,1,4,2,0,0,0
927,1,3,4,4,0,0,0
186,3,2,4,6,2,0,0
576,2,2,3,4,0,0,0
676,2,1,3,2,0,1,0
1045,1,2,4,6,0,1,0
209,3,2,5,6,0,2,0
1621,0,0,2,2,0,1,0
999,1,2,3,2,0,0,0
388,3,0,4,4,0,1,0
1318,0,3,2,6,1,1,0
580,2,2,3,4,1,1,0
1383,0,3,5,2,2,0,0
621,2,2,5,2,0,0,0
363,3,0,3,4,1,0,0
546,2,2,2,2,2,0,0
118,3,2,2,4,0,1,0
1620,0,0,2,2,0,0,0
820,2,0,4,4,0,1,0
1365,0,3,4,4,2,0,0
796,2,0,3,4,1,1,0
530,2,3,5,4,2,2,0
303,3,1,5,2,2,0,0
1524,0,1,2,4,1,0,0
420,3,0,5,4,2,0,0
332,3,0,2,2,2,2,0
162,3,2,4,2,0,0,0
1482,0,2,4,6,2,0,0
1062,1,2,5,4,0,0,0
1602,0,1,5,4,0,0,0
182,3,2,4,6,0,2,0
1683,0,0,4,4,0,0,0
1485,0,2,5,2,0,0,0
426,3,0,5,6,1,0,0
564,2,2,2,6,2,0,0
1439,0,2,3,2,2,2,0
1433,0,2,3,2,0,2,0
321,3,1,5,6,2,0,0
1056,1,2,5,2,1,0,0
612,2,2,4,6,0,0,0
500,2,3,4,4,1,2,0
1173,1,1,5,4,1,0,0
852,2,0,5,4,2,0,0
1227,1,0,3,4,1,0,0
708,2,1,4,2,2,0,0
1573,0,1,4,2,2,1,0
883,1,3,2,6,0,1,0
84,3,3,5,2,1,0,0
696,2,1,3,6,1,0,0
98,3,3,5,4,2,2,0
1338,0,3,3,4,2,0,0
157,3,2,3,6,1,1,0
197,3,2,5,2,2,2,0
28,3,3,3,2,0,1,0
721,2,1,4,6,0,1,0
123,3,2,2,4,2,0,0
191,3,2,5,2,0,2,0
271,3,1,4,2,0,1,0
46,3,3,3,6,0,1,0
325,3,0,2,2,0,1,0
1491,0,2,5,2,2,0,0
915,1,3,3,6,2,0,0
306,3,1,5,4,0,0,0
523,2,3,5,4,0,1,0
798,2,0,3,4,2,0,0
6,3,3,2,2,2,0,0
456,2,3,2,6,2,0,0
531,2,3,5,6,0,0,0
734,2,1,5,2,1,2,0
1141,1,1,4,2,2,1,0
1179,1,1,5,6,0,0,0
1009,1,2,3,4,0,1,0
195,3,2,5,2,2,0,0
69,3,3,4,4,2,0,0
183,3,2,4,6,1,0,0
1028,1,2,4,2,0,2,0
89,3,3,5,2,2,2,0
1257,1,0,4,4,2,0,0
1084,1,1,2,2,1,1,0
630,2,2,5,4,0,0,0
138,3,2,3,2,1,0,0
969,1,3,5,6,2,0,0
1554,0,1,3,4,2,0,0
760,2,0,2,2,1,1,0
1195,1,0,2,2,2,1,0
844,2,0,5,2,2,1,0
816,2,0,4,2,2,0,0
211,3,2,5,6,1,1,0
124,3,2,2,4,2,1,0
992,1,2,2,6,0,2,0
1401,0,3,5,6,2,0,0
1593,0,1,5,2,0,0,0
1719,0,0,5,6,0,0,0
27,3,3,3,2,0,0,0
228,3,1,2,4,1,0,0
979,1,2,2,2,2,1,0
65,3,3,4,4,0,2,0
1369,0,3,4,6,0,1,0
1385,0,3,5,2,2,2,0
1446,0,2,3,4,2,0,0
1275,1,0,5,2,2,0,0
379,3,0,4,2,0,1,0
759,2,0,2,2,1,0,0
906,1,3,3,4,2,0,0
660,2,1,2,4,1,0,0
408,3,0,5,2,1,0,0
609,2,2,4,4,2,0,0
1115,1,1,3,2,2,2,0
479,2,3,3,6,0,2,0
135,3,2,3,2,0,0,0
1311,0,3,2,4,2,0,0
1002,1,2,3,2,1,0,0
896,1,3,3,2,1,2,0
900,1,3,3,4,0,0,0
1059,1,2,5,2,2,0,0
776,2,0,2,6,0,2,0
1494,0,2,5,4,0,0,0
51,3,3,3,6,2,0,0
1301,0,3,2,2,1,2,0
334,3,0,2,4,0,1,0
529,2,3,5,4,2,1,0
780,2,0,2,6,2,0,0
895,1,3,3,2,1,1,0
441,2,3,2,4,0,0,0
1625,0,0,2,2,1,2,0
140,3,2,3,2,1,2,0
1325,0,3,3,2,0,2,0
731,2,1,5,2,0,2,0
522,2,3,5,4,0,0,0
1092,1,1,2,4,1,0,0
980,1,2,2,2,2,2,0
813,2,0,4,2,1,0,0
240,3,1,2,6,2,0,0
786,2,0,3,2,1,0,0
640,2,2,5,6,0,1,0
1330,0,3,3,2,2,1,0
1273,1,0,5,2,1,1,0
495,2,3,4,4,0,0,0
1050,1,2,4,6,2,0,0
594,2,2,4,2,0,0,0
973,1,2,2,2,0,1,0
125,3,2,2,4,2,2,0
1379,0,3,5,2,0,2,0
107,3,3,5,6,2,2,0
1244,1,0,4,2,0,2,0
405,3,0,5,2,0,0,0
597,2,2,4,2,1,0,0
1305,0,3,2,4,0,0,0
764,2,0,2,2,2,2,0
1165,1,1,5,2,1,1,0
783,2,0,3,2,0,0,0
473,2,3,3,4,1,2,0
840,2,0,5,2,1,0,0
670,2,1,2,6,1,1,0
185,3,2,4,6,1,2,0
1328,0,3,3,2,1,2,0
1152,1,1,4,6,0,0,0
434,2,3,2,2,0,2,0
413,3,0,5,2,2,2,0
1389,0,3,5,4,1,0,0
1026,1,2,4,2,0,0,0
747,2,1,5,6,0,0,0
972,1,2,2,2,0,0,0
758,2,0,2,2,0,2,0
870,1,3,2,2,2,0,0
1336,0,3,3,4,1,1,0
1222,1,0,3,2,2,1,0
1086,1,1,2,2,2,0,0
59,3,3,4,2,1,2,0
1303,0,3,2,2,2,1,0
484,2,3,3,6,2,1,0
1276,1,0,5,2,2,1,0
410,3,0,5,2,1,2,0
787,2,0,3,2,1,1,0
579,2,2,3,4,1,0,0
1035,1,2,4,4,0,0,0
946,1,3,5,2,0,1,0
399,3,0,4,6,1,0,0
10,3,3,2,4,0,1,0
974,1,2,2,2,0,2,0
175,3,2,4,4,1,1,0
1652,0,0,3,2,1,2,0
1653,0,0,3,2,2,0,0
1332,0,3,3,4,0,0,0
150,3,2,3,4,2,0,0
951,1,3,5,2,2,0,0
828,2,0,4,6,0,0,0
329,3,0,2,2,1,2,0
204,3,2,5,4,2,0,0
226,3,1,2,4,0,1,0
1138,1,1,4,2,1,1,0
1110,1,1,3,2,1,0,0
694,2,1,3,6,0,1,0
407,3,0,5,2,0,2,0
443,2,3,2,4,0,2,0
712,2,1,4,4,0,1,0
678,2,1,3,2,1,0,0
1306,0,3,2,4,0,1,0
1382,0,3,5,2,1,2,0
1170,1,1,5,4,0,0,0
884,1,3,2,6,0,2,0
1459,0,2,4,2,0,1,0
649,2,1,2,2,0,1,0
739,2,1,5,4,0,1,0
525,2,3,5,4,1,0,0
475,2,3,3,4,2,1,0
272,3,1,4,2,0,2,0
1125,1,1,3,6,0,0,0
688,2,1,3,4,1,1,0
855,2,0,5,6,0,0,0
736,2,1,5,2,2,1,0
1314,0,3,2,6,0,0,0
656,2,1,2,2,2,2,0
364,3,0,3,4,1,1,0
963,1,3,5,6,0,0,0
353,3,0,3,2,0,2,0
838,2,0,5,2,0,1,0
711,2,1,4,4,0,0,0
1374,0,3,4,6,2,0,0
815,2,0,4,2,1,2,0
256,3,1,3,4,1,1,0
1574,0,1,4,2,2,2,0
1333,0,3,3,4,0,1,0
196,3,2,5,2,2,1,0
1530,0,1,2,6,0,0,0
1020,1,2,3,6,1,0,0
1503,0,2,5,6,0,0,0
253,3,1,3,4,0,1,0
1087,1,1,2,2,2,1,0
1041,1,2,4,4,2,0,0
683,2,1,3,2,2,2,0
1692,0,0,4,6,0,0,0
1458,0,2,4,2,0,0,0
223,3,1,2,2,2,1,0
1326,0,3,3,2,1,0,0
1162,1,1,5,2,0,1,0
1007,1,2,3,2,2,2,0
235,3,1,2,6,0,1,0
1546,0,1,3,2,2,1,0
843,2,0,5,2,2,0,0
977,1,2,2,2,1,2,0
1490,0,2,5,2,1,2,0
1029,1,2,4,2,1,0,0
1716,0,0,5,4,2,0,0
1623,0,0,2,2,1,0,0
498,2,3,4,4,1,0,0
1251,1,0,4,4,0,0,0
921,1,3,4,2,1,0,0
1168,1,1,5,2,2,1,0
801,2,0,3,6,0,0,0
1018,1,2,3,6,0,1,0
81,3,3,5,2,0,0,0
246,3,1,3,2,1,0,0
577,2,2,3,4,0,1,0
158,3,2,3,6,1,2,0
171,3,2,4,4,0,0,0
1359,0,3,4,4,0,0,0
470,2,3,3,4,0,2,0
390,3,0,4,4,1,0,0
1128,1,1,3,6,1,0,0
1438,0,2,3,2,2,1,0
280,3,1,4,4,0,1,0
63,3,3,4,4,0,0,0
302,3,1,5,2,1,2,0
121,3,2,2,4,1,1,0
1263,1,0,4,6,1,0,0
1624,0,0,2,2,1,1,0
681,2,1,3,2,2,0,0
382,3,0,4,2,1,1,0
661,2,1,2,4,1,1,0
1614,0,1,5,6,1,0,0
21,3,3,2,6,1,0,0
1249,1,0,4,2,2,1,0
273,3,1,4,2,1,0,0
866,1,3,2,2,0,2,0
723,2,1,4,6,1,0,0
357,3,0,3,2,2,0,0
1271,1,0,5,2,0,2,0
220,3,1,2,2,1,1,0
1023,1,2,3,6,2,0,0
735,2,1,5,2,2,0,0
352,3,0,3,2,0,1,0
1600,0,1,5,2,2,1,0
1587,0,1,4,6,1,0,0
119,3,2,2,4,0,2,0
110,3,2,2,2,0,2,0
650,2,1,2,2,0,2,0
585,2,2,3,6,0,0,0
